DATE,MDUR
1976-01-01,6.5500000000000000
1977-01-01,6.1083333333333333
1978-01-01,5.6083333333333333
1979-01-01,5.7750000000000000
1980-01-01,6.6000000000000000
1981-01-01,7.0833333333333333
1982-01-01,8.2583333333333333
1983-01-01,6.9333333333333333
1984-01-01,5.3416666666666667
1985-01-01,4.6250000000000000
1986-01-01,4.5500000000000000
1987-01-01,4.3083333333333333
1988-01-01,4.1750000000000000
1989-01-01,3.7916666666666667
1990-01-01,4.3250000000000000
1991-01-01,5.9416666666666667
1992-01-01,6.5333333333333333
1993-01-01,5.9916666666666667
1994-01-01,5.2000000000000000
1995-01-01,4.9833333333333333
1996-01-01,4.9333333333333333
1997-01-01,4.8083333333333333
1998-01-01,4.2416666666666667
1999-01-01,3.4583333333333333
2000-01-01,3.5166666666666667
2001-01-01,4.2083333333333333
2002-01-01,4.7750000000000000
2003-01-01,4.8000000000000000
2004-01-01,4.6166666666666667
2005-01-01,4.4750000000000000
2006-01-01,4.1750000000000000
2007-01-01,3.7333333333333333
2008-01-01,4.5250000000000000
2009-01-01,7.5500000000000000
2010-01-01,7.8250000000000000
2011-01-01,7.3166666666666667
2012-01-01,6.8666666666666667
2013-01-01,6.5166666666666667
2014-01-01,5.7333333333333333
2015-01-01,4.9916666666666667
2016-01-01,4.2916666666666667
2017-01-01,4.0000000000000000
2018-01-01,3.8166666666666667
2019-01-01,3.3916666666666667
2020-01-01,6.5166666666666667
2021-01-01,5.3166666666666667
2022-01-01,3.2333333333333333
2023-01-01,.
