Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
NY,Nedrow CDP,78.2,9.5,7.6,0.6,2.9,51944,89.4,12,
NY,Nelliston village,96.5,0,0.3,0.2,2.2,46000,81.3,15.9,
NY,Nelsonville village,93.3,0.5,0.2,1.1,7.8,107500,94.1,1.9,
NY,Nesconset CDP,91.8,1.3,0.1,4.9,6.2,117946,93.6,3,
NY,Newark village,86.3,6.1,0.4,0.7,8.7,76500,94.2,5.5,
NY,Newark Valley village,96.8,0,0.2,0.6,1.7,48083,95.7,10.2,
NY,New Berlin village,97,0.8,0.2,0.3,1.4,67692,93,2.1,
NY,Newburgh city,39.4,30.2,1.7,1,47.9,34348,70.1,34.2,
NY,New Cassel CDP,26,38.2,0.8,1.4,53.9,73702,70,13.2,
NY,New City CDP,78.7,6.4,0.2,10.3,9,119528,93.7,4.5,
NY,Newfane CDP,96.3,0.8,0.4,0.5,1.2,47127,90.6,13.1,
NY,Newfield Hamlet CDP,93.4,1.1,1.1,0,1.6,47411,75.6,4.4,
NY,New Hartford village,95.6,1.2,0.1,0.9,2.3,54961,95.1,10.8,
NY,New Hempstead village,71.6,16,0.1,6.8,9.3,107875,89.8,3.2,
NY,New Hyde Park village,65.9,1.3,0.3,26,12.2,103811,89.3,3.7,
NY,New Paltz village,80.5,6.4,0.3,6,11.1,41421,94.4,31.5,
NY,Newport village,97.8,1.1,0,0.3,0.9,32500,95.8,15.2,
NY,New Rochelle city,65.2,19.3,0.5,4.2,27.8,70036,82.9,11.1,
NY,New Square village,99.2,0.1,0,0.1,0.4,22470,70.6,70.5,
NY,New Suffolk CDP,98,0.6,0.3,0,6.3,(X),84.5,13.2,
NY,New Windsor CDP,75.9,11.6,0.3,1.9,21.3,66443,86.7,5.3,
NY,New York City,44,25.5,0.7,12.7,28.6,53373,80.3,20.6,
NY,New York Mills village,95.6,1.4,0.2,1.6,2.3,32383,95.2,18.2,
NY,Niagara Falls city,70.5,21.6,1.9,1.2,3,31560,85.6,26.7,
NY,Nichols village,99.6,0.2,0,0.2,0.8,58750,94.7,16.7,
NY,Niskayuna CDP,91,3.1,0.1,3,2.9,100417,99,3.3,
NY,Nissequogue village,92.5,0.9,0,5,3.4,170250,96.6,3.5,
NY,Niverville CDP,96.3,0.8,0.1,0.6,2,90750,94,3.3,
NY,Norfolk CDP,96.8,0.3,0.5,0.1,0.9,53906,88.4,14.9,
NY,North Amityville CDP,21.9,58.9,1.1,1,28.5,70660,76.1,8,
NY,Northampton CDP,53.7,27.5,0,0.4,19.6,51333,73.6,9,
NY,North Babylon CDP,84.9,6.2,0.1,4.1,12.7,88139,93.4,5,
NY,North Ballston Spa CDP,97.5,0.4,0,0.3,3.7,62778,88.1,3.9,
NY,North Bay Shore CDP,43.6,18.3,0.7,3.8,65,81526,72.2,10.5,
NY,North Bellmore CDP,89.5,2.6,0.1,4.6,7.7,104806,95.1,4.3,
NY,North Bellport CDP,53.9,26.5,1.4,2.6,29.3,66023,79.4,20.4,
NY,North Boston CDP,98.9,0.1,0,0.3,1,52083,99.3,1.7,
NY,North Collins village,94.2,0.2,2.3,0,3.7,52992,88.9,5,
NY,North Creek CDP,97.4,0.3,0.2,0.6,2.3,37969,80.4,9.9,
NY,Northeast Ithaca CDP,71.5,4.1,0.2,20.4,3.7,54444,97.9,20.3,
NY,North Gates CDP,80.8,10.3,0.3,4.4,6.6,38968,84.7,13.8,
NY,North Great River CDP,90,3,0.3,2,11.7,105391,95.3,4.2,
NY,North Haven village,97.6,0.1,0,1.4,2.9,118750,97.9,3.1,
NY,North Hills village,71.1,1.2,0,25.3,2.2,114716,98.7,1.5,
NY,North Hornell village,97.4,0,0.1,0.6,2.2,57105,96.6,6.1,
NY,North Lindenhurst CDP,81.5,5.1,0.3,3.1,19.3,70799,85.3,9,
NY,North Lynbrook CDP,81.6,3.4,0,5.7,15,101094,85.1,4,
NY,North Massapequa CDP,96,0.4,0,1.8,5.4,102292,94.5,4.9,
NY,North Merrick CDP,90.6,1.5,0.1,4.7,7.1,117150,95.3,2.4,
NY,North New Hyde Park CDP,65.7,0.7,0.3,29.1,7.2,109264,91.7,3.8,
NY,North Patchogue CDP,86.9,2.3,0.2,1.8,20.6,86038,94.6,6,
NY,Northport village,96.1,0.6,0,1.7,3.6,47321,97.6,16.7,
NY,North Rose CDP,93.2,0.8,0.5,0.2,4.2,42250,83.7,2,
NY,North Sea CDP,92.8,1.1,0.1,1.5,16.8,72554,94.5,5.2,
NY,North Syracuse village,93.7,2.3,0.8,0.7,2.6,43411,92.6,8.6,
NY,North Tonawanda city,96.5,0.8,0.4,0.7,1.7,48235,92.1,10.1,
NY,North Valley Stream CDP,28.8,48.1,0.5,12.9,14.5,97868,90.7,4.4,
NY,Northville village,96.7,0.6,0,0.6,1.9,47875,93.4,12.3,
NY,Northville CDP,92.6,1.1,0.2,0.7,5.8,68507,98.8,5.1,
NY,North Wantagh CDP,94.1,0.8,0.1,2.5,7.5,95909,93.5,2.4,
NY,Northwest Harbor CDP,88.1,2.6,0.4,1.7,18.2,93750,98,6.5,
NY,Northwest Ithaca CDP,83.5,8.4,0.1,3,3.4,49948,91.8,19.8,
