Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
AL,Abanda CDP,67.2,30.2,0,0,1.6,11207,21.2,78.8,
AL,Abbeville city,54.4,41.4,0.1,1,3.1,25615,69.1,29.1,
AL,Adamsville city,52.3,44.9,0.5,0.3,2.3,42575,78.9,25.5,
AL,Addison town,99.1,0.1,0,0.1,0.4,37083,81.4,30.7,
AL,Akron town,13.2,86.5,0,0,0.3,21667,68.6,42,
AL,Alabaster city,79.4,13.5,0.4,0.9,9,71816,89.3,11.2,
AL,Albertville city,75.9,1.9,0.8,0.5,27.9,32911,72.7,26.7,
AL,Alexander City city,62.2,32,0.2,0.9,4.8,29874,78.1,30.4,
AL,Alexandria CDP,87.4,10.2,0.3,0.5,0.9,56058,88.8,9.7,
AL,Aliceville city,22.6,74.9,0.1,0,1.2,21131,74.3,41.3,
AL,Allgood town,79.6,0.6,0.3,0.6,49.4,42009,48.1,27.7,
AL,Altoona town,95.8,1.7,0.2,0.2,1.1,27566,66.9,27.5,
AL,Andalusia city,70.5,25.9,0.4,1,1.9,31968,81.1,24.5,
AL,Anderson town,97.9,0,0.4,0,0.7,34792,85.7,13.8,
AL,Anniston city,44.7,51.5,0.3,0.8,2.7,29681,79.8,31.7,
AL,Arab city,96.6,0.1,0.6,0.7,1.7,40292,87.6,16.7,
AL,Ardmore town,94.3,1.9,0.8,0.9,1.3,35670,77.7,19.1,
AL,Argo town,94.1,3.6,0.4,0.3,0.5,57212,87.5,8.6,
AL,Ariton town,78.3,19.2,0,0.1,6,24286,71.3,37.6,
AL,Arley town,94.4,0,0.6,0.3,1.4,28750,80.6,31.6,
AL,Ashford town,79,19.5,0.2,0.2,0.8,42704,83.5,18.8,
AL,Ashland town,71.5,24.1,0.3,0.7,5.7,31438,77.9,22.4,
AL,Ashville city,75.8,20.3,0.2,0.3,3.8,40547,77.6,28.3,
AL,Athens city,73,17.5,0.6,0.9,8.8,47542,83.4,13,
AL,Atmore city,40,55.6,1.8,0.3,1.8,26775,73.7,24.7,
AL,Attalla city,81.5,12.7,0.4,0.5,4.7,37191,76,20.3,
AL,Auburn city,75.1,16.5,0.3,5.3,2.9,38342,94.3,31.8,
AL,Autaugaville town,31.3,66.8,0.2,0,0.8,24833,71.2,24.1,
AL,Avon town,94.7,1.8,1.8,0,1.3,40417,82.8,22.2,
AL,Axis CDP,66.8,26.9,3.2,0.1,0.9,55750,79.9,6.8,
AL,Babbie town,96.7,0,0,1.5,0.2,41912,81.2,15.7,
AL,Baileyton town,96.2,0.2,0.5,0,1.5,31875,74.7,28.6,
AL,Bakerhill town,61.6,35.5,0.7,0,1.1,31875,72.4,19.1,
AL,Ballplay CDP,97.5,0.1,0.7,0.3,1,37778,80.3,7.1,
AL,Banks town,69.3,24.6,2.2,0,1.1,28750,73,38.2,
AL,Bay Minette city,60.4,35.3,1,0.8,1.8,31576,79.1,26.3,
AL,Bayou La Batre city,60.3,12.3,0.4,22.8,2.8,34583,58.5,30.1,
AL,Bear Creek town,97.1,0.1,0.7,0.2,1.8,35563,76.7,25.3,
AL,Beatrice town,23.6,76.1,0.3,0,0,18417,89.1,44.9,
AL,Beaverton town,95,5,0,0,1,31875,87.9,8.1,
AL,Belgreen CDP,96.1,0,0,0,3.9,27750,87,28.8,
AL,Belk town,95.8,2.8,0,0.5,0.9,28906,63.8,39.1,
AL,Bellamy CDP,8.3,90.8,0,0.9,1.3,22132,86.5,42.9,
AL,Belle Fontaine CDP,92.3,1.6,0.5,2.3,3.6,34615,91.9,36.7,
AL,Benton town,81.6,18.4,0,0,0,(X),100,0,
AL,Berry town,90.8,7.4,0,0,0.8,25865,65.4,30.9,
AL,Bessemer city,24.3,71.2,0.3,0.2,4.1,29615,81.5,32.9,
AL,Billingsley town,86.1,11.1,2.1,0,0.7,41250,71.3,20.5,
AL,Birmingham city,22.3,73.4,0.2,1,3.6,31061,85.1,30.9,
AL,Black town,92.3,6.3,0,0,0,41071,90,12.7,
AL,Blountsville town,87.3,0.7,1,0.4,15.3,30152,73.1,41.2,
AL,Blue Ridge CDP,94.5,2.7,0.7,0.9,1,96333,97.6,0.5,
AL,Blue Springs town,92.7,6.3,0,1,3.1,45313,95.6,4,
AL,Boaz city,87.3,1.8,0.4,0.7,14.2,35974,76.6,19.4,
AL,Boligee town,8.8,90.2,0,0,0.3,12173,79.9,60.3,
AL,Bon Air town,80.2,6.9,2.6,0,2.6,23750,85.7,47.6,
AL,Boykin CDP,4,95.3,0,0,0.7,(X),53.7,53.7,
AL,Brantley town,56.1,38.8,0.6,0.5,2,27870,75.1,20.7,
AL,Brantleyville CDP,82.1,3.3,0.9,0.5,12.6,40370,85.1,19.2,
AL,Brent city,45.1,53.5,0.1,0,2.1,33924,73.8,17.3,
AL,Brewton city,54.1,42.6,0.7,0.4,2.2,31033,84.5,27.8,
AL,Bridgeport city,84,8.6,1.9,0.2,1.7,28571,74.9,34.7,
AL,Brighton city,6.5,81,1,0,13.8,22146,78.6,33,
AL,Brilliant town,98.3,0.2,0.1,0.1,1.6,25893,75.9,22.5,
AL,Bristow Cove CDP,91.1,0,1.5,0.1,6.6,(X),65.1,39.7,
AL,Brook Highland CDP,73.6,16.2,0.2,4.4,7.8,60212,96.2,11.5,
AL,Brookside town,79.5,18.5,0.3,0.1,0.7,34554,78.7,19.2,
AL,Brookwood town,92.2,5.3,0.7,0.1,2,51515,83.1,10.8,
AL,Broomtown CDP,98.4,1.6,0,0,0,28750,66.2,23.8,
AL,Brundidge city,34.1,62.9,0.5,0.6,3,23819,77.2,32.4,
AL,Bucks CDP,59.4,31.3,3.1,0,3.1,-,100,0,
AL,Butler town,71.4,26.7,0.2,0.2,0.7,28950,80.2,25.3,
AL,Calera city,71.2,23,0.2,0.6,5,62893,89.1,5.8,
AL,Calvert CDP,53.1,35.4,6.9,0,2.2,-,22.8,79.4,
AL,Camden city,42,57.4,0.1,0,0.7,28375,82.8,31.9,
AL,Camp Hill town,10.2,88.4,0.1,0.1,0.7,25118,76.6,36.6,
AL,Carbon Hill city,89.4,8.2,0.2,0.1,1.2,25990,65.4,32.2,
AL,Cardiff town,94.5,5.5,0,0,0,(X),72.7,30,
AL,Carlisle-Rockledge CDP,95,0.9,0.9,0.1,3.1,35938,73.1,17.2,
AL,Carlton CDP,66.2,33.8,0,0,3.1,(X),77,18.9,
AL,Carolina town,96.6,0.3,0.3,0,0,50278,87.8,7.4,
AL,Carrollton town,49,43.1,0.1,0,10.4,27857,71,29.1,
AL,Castleberry town,59.2,38.4,0.3,0,0.5,20677,75.9,39.6,
AL,Catherine CDP,72.7,27.3,0,0,0,-,100,0,
AL,Cedar Bluff town,86.2,9.9,0.7,0.3,1.2,36389,77.9,25.8,
AL,Center Point city,32.6,62.9,0.2,0.4,4.8,39944,87.1,25,
AL,Centre city,87,9.9,0.4,0.3,1.2,31268,76.7,25.1,
AL,Centreville city,72.2,23.7,0.3,0.4,3,41103,81.6,22.4,
AL,Chatom town,68.2,31.1,0,0,0.6,35365,76,19.8,
AL,Chelsea city,89.5,5.7,0.3,2,3.2,85757,93.5,4.9,
AL,Cherokee town,77.6,18.3,0.5,0.3,1.7,28359,80.9,19.9,
AL,Chickasaw city,63,33.6,0.8,0.5,2.3,30973,79.9,33.6,
AL,Childersburg city,60.1,36.9,0.4,0.5,1.3,25948,78.8,38.6,
AL,Choccolocco CDP,87.5,7.2,0.3,0.7,4.3,54825,89.4,14.7,
AL,Chunchula CDP,45.7,51.9,0,0,0.5,(X),91.2,0,
AL,Citronelle city,70.7,20.2,4.9,0.5,2.6,48125,82.5,16.9,
AL,Clanton city,74.9,19.1,0.3,0.6,6,39823,76.8,16.9,
AL,Clay city,84.1,13.3,0.3,0.6,1.3,68717,92.2,6.6,
AL,Clayhatchee town,94.9,1.7,0.3,0.3,2.4,32656,85.3,16.4,
AL,Clayton town,35.8,63.8,0,0,0.6,25203,57.8,29.3,
AL,Cleveland town,89.2,0.3,0.2,0.3,18.4,40909,74.4,15,
AL,Clio city,32,36.5,0.4,0.5,36,19539,63.1,31.4,
AL,Coaling town,86.4,11.4,0.1,0.1,0.8,54167,88.2,19.5,
AL,Coats Bend CDP,84.4,12.6,0.5,0,0.9,42821,90.9,15,
AL,Coffee Springs town,96.1,0,0,0,2.6,33636,78,21.2,
AL,Coffeeville town,51.4,46,0,0,0.6,19583,71.7,41.3,
AL,Coker town,95.2,2,0.2,0.9,1.8,45795,89.2,10,
AL,Collinsville town,47.8,9,1.1,0.1,43.1,25795,52,32.1,
AL,Colony town,10.4,86.9,0,0.4,0.4,33063,77,24.8,
AL,Columbia town,77,21.1,0.4,0,0.4,31806,79,20.1,
AL,Columbiana city,71.3,25.1,0.3,0.2,3,32700,74.4,24,
AL,Concord CDP,98.5,0.5,0.2,0.2,0.5,44620,91.3,7.9,
AL,Coosada town,57.7,40,0.4,0.2,2.9,47406,84.3,23.5,
AL,Cordova city,83.4,14.5,0.8,0.1,0.7,19139,79.8,32.8,
AL,Cottonwood town,71.8,25.4,0.6,0,1.1,25313,76.3,29.8,
AL,County Line town,94.2,1.2,3.1,1.2,0.4,55313,83.9,10.7,
AL,Courtland town,57.6,38.4,1.3,0.3,0.3,33125,79.6,25.8,
AL,Cowarts town,80.8,14.6,0.7,0.1,1.7,43533,86,11.7,
AL,Creola city,84.7,9.8,1.8,0.1,3.1,51705,84.4,18.1,
AL,Crossville town,88.7,0.4,1.9,0.2,8.3,30833,70.4,38.1,
AL,Cuba town,85.3,13,0.6,0,0.3,40673,92.1,21,
AL,Cullman city,93.4,0.9,0.3,0.9,8.2,38746,85.3,21.9,
AL,Cullomburg CDP,42.1,57.3,0,0,0,(X),93.4,8.5,
AL,Cusseta town,95.9,2.4,0,1.6,0,52500,83.7,9.3,
AL,Dadeville city,50.2,47.5,0.3,0.6,0.9,29368,73.7,28.8,
AL,Daleville city,66.2,22.6,1.1,2.7,10.1,45651,85.3,24.5,
AL,Daphne city,84.1,11.8,0.4,1.5,2.9,60737,95.8,11.2,
AL,Dauphin Island town,97.3,0.4,1,0.2,0.7,63594,95.8,3.6,
AL,Daviston town,88.8,10.3,0,0.9,1.9,47639,87.8,12.9,
AL,Dayton town,32.7,65.4,0,0,0,(X),100,48,
AL,Deatsville town,77.6,19.4,0.1,0.3,1.6,78125,96.3,5.1,
AL,Decatur city,66.5,21.7,0.7,0.9,12.4,41496,82.7,21.2,
AL,Deer Park CDP,31.9,66.5,0,0,1.6,(X),86.3,28.1,
AL,Delta CDP,97,0,2.5,0,0.5,(X),87,0,
AL,Demopolis city,47.3,50.1,0.1,0.5,2.4,27656,89.1,31,
AL,Detroit town,83.1,13.9,0,0,0.4,24107,64.8,27.9,
AL,Dodge City town,96,0.7,0.8,0,2.5,41346,81.7,16.7,
AL,Dora city,85.6,12.2,0.3,0,0.7,40769,82.3,17.2,
AL,Dothan city,63.1,32.5,0.4,1.1,2.9,42426,86.2,19.1,
AL,Double Springs town,97.3,0.6,0.8,0.2,0.4,29063,74.5,27.5,
AL,Douglas town,93.3,0.8,0.4,0,3.9,29318,78.5,34.9,
AL,Dozier town,59.6,35.3,0.3,0.3,0,21765,79.1,30.3,
AL,Dunnavant CDP,96.7,0.4,0.7,0,2.3,42857,76,7.7,
AL,Dutton town,90.8,2.5,0,0,3.2,39688,90.6,24.2,
AL,East Brewton city,74.7,20.8,0.6,0,3.1,26736,83.6,30.6,
AL,East Point CDP,96.5,0,0,1,3.5,62059,91.4,0,
AL,Eclectic town,86.4,11,0.4,0,1.3,41304,84.2,13.4,
AL,Edgewater CDP,31,68.4,0.1,0,1,26818,84.1,26.5,
AL,Edwardsville town,98,0.5,0,0,0,38438,87,5.1,
AL,Egypt CDP,94.3,0.9,0.5,0.5,3.3,56693,84.9,4.5,
AL,Elba city,62.1,34.3,1.2,0.3,1.1,26156,76.9,31.1,
AL,Elberta town,92.9,1.4,0.3,0.8,5.3,31190,85.8,15.8,
AL,Eldridge town,97.7,0.8,0,0,0,30000,75,37.8,
AL,Elkmont town,85.9,12.7,1.2,0,0,39583,78.2,11.2,
AL,Elmore town,64.3,26.7,0.1,0.2,8.8,40150,70.5,30,
AL,Emelle town,5.7,94.3,0,0,0,36250,79.3,0,
AL,Emerald Mountain CDP,87.1,11,0.2,0.6,1.6,91054,90.9,8.2,
AL,Enterprise city,69.4,20.7,0.5,2,8.8,54450,89.2,16.3,
AL,Epes town,8.9,91.1,0,0,0,25000,81.6,24.8,
AL,Ethelsville town,74.1,25.9,0,0,0,40417,80.6,32.3,
AL,Eufaula city,51,44.6,0.5,0.6,4.3,32845,81.5,25.3,
AL,Eunola CDP,91.4,7.4,0,0.4,1.6,42023,96.1,0,
AL,Eutaw town,18.1,80.2,0.1,0.4,1.3,22377,73.2,32.7,
AL,Eva town,96.3,0,0.4,0.2,0.4,39868,91.2,11.1,
AL,Evergreen city,34.8,62.4,0.2,0.2,2.3,18661,79.2,52.6,
AL,Excel town,91.1,5,1.4,0,0.7,34375,86,18.6,
AL,Fairfield city,4.2,94.6,0,0,1.1,34890,88.9,23.4,
AL,Fairford CDP,61.3,17.7,19.9,0,0,32269,57.6,0,
AL,Fairhope city,91.1,6.2,0.2,0.7,2.8,61489,95.4,11.2,
AL,Fairview town,95.5,0.2,0,0.4,11.2,37750,82,24,
AL,Falkville town,92.1,3.4,1.1,0.1,2.2,33846,65.1,26,
AL,Faunsdale town,67.3,32.7,0,0,0,20625,85.7,30.2,
AL,Fayette city,73.4,24.3,0.3,0.3,1.4,30646,79.1,25.9,
AL,Fayetteville CDP,97.2,1.3,0.3,0,0.3,34632,68.5,15.3,
AL,Fitzpatrick CDP,78.3,21.7,0,0,2.4,(X),60.7,15.5,
AL,Five Points town,46.8,52.5,0,0,0,45000,61.9,20.4,
AL,Flomaton town,69.5,27.2,1.6,0.1,2.3,24406,77.3,30.2,
AL,Florala town,80.1,15.8,0.8,0.4,2.8,25673,79.6,30.1,
AL,Florence city,75,19.4,0.4,1.4,3.6,35731,84.4,24.6,
AL,Foley city,77.1,14.9,0.6,1.1,9.5,40938,91.5,18.9,
AL,Forestdale CDP,26.2,71.4,0.2,0.2,1.4,48654,93.5,17,
AL,Forkland town,11.9,87.4,0.2,0,0.8,19063,74.1,48.1,
AL,Fort Deposit town,23.7,75.5,0.1,0.1,0.4,23963,70.5,30.2,
AL,Fort Payne city,77.6,4.2,0.9,0.8,20.9,38833,67.7,19,
AL,Fort Rucker CDP,77.7,11.9,0.8,1.3,13.2,59265,98.8,8,
AL,Franklin town,47.7,49.7,0,1.3,0,60417,85,6.6,
AL,Fredonia CDP,87.9,11.6,0,0,0,66591,88.6,18.4,
AL,Frisco City town,45.4,49.3,1.3,0,1.8,17311,77.3,31.3,
AL,Fruitdale CDP,70.3,28.6,0,0,1.6,63125,93.3,33,
AL,Fruithurst town,98.2,0,1.1,0.4,0,35625,75.8,13.5,
AL,Fulton town,84.9,11,0,0.7,3.3,32083,76,19.9,
AL,Fultondale city,75.1,16.6,0.4,1,10.8,51587,85.1,14,
AL,Fyffe town,94,0.3,1.5,0.7,1.3,42356,83.7,12.8,
AL,Gadsden city,57.3,36.3,0.4,0.6,5.4,29136,78.3,29.4,
AL,Gainesville town,16.3,82.2,0,0,0,14444,76.7,40.9,
AL,Gallant CDP,96.7,0.2,0.6,0,1.6,45859,83.7,3.9,
AL,Gantt town,77,23,0,0,0,47000,85.6,8.3,
AL,Garden City town,98.2,0.2,0.4,0,0.4,31591,79.8,19.3,
AL,Gardendale city,88.4,8.6,0.3,1.2,1.5,56132,92.2,7.8,
AL,Gaylesville town,96.5,0,0,0,3.5,26818,78.4,19.3,
AL,Geiger town,26.5,73.5,0,0,2.9,45125,71.3,19.5,
AL,Geneva city,83.2,14,0.4,0.4,1.8,29912,78.1,30.3,
AL,Georgiana town,33.1,65.4,0.3,0.1,0.3,19969,71.1,35.5,
AL,Geraldine town,93.5,0.3,3.7,0,2,42292,84.2,13.8,
AL,Gilbertown town,77.2,21.9,0,0.5,0,33750,83.8,21.5,
AL,Glen Allen town,89.4,9.4,0.2,0.2,0.2,24531,76.5,21.4,
AL,Glencoe city,96.5,1.3,0.3,0.5,0.8,46691,86.6,11.1,
AL,Glenwood town,70.1,29.9,0,0,0,36000,84.8,13.6,
AL,Goldville town,100,0,0,0,5.5,46250,86.7,9.3,
AL,Good Hope town,92.7,0.3,0.4,0.5,7.7,47754,86.5,15.2,
AL,Goodwater town,24.3,73.7,0.7,0,0.7,23809,71.6,32.2,
AL,Gordo town,58.9,37.8,0.2,0.2,1.5,30781,80.4,26.3,
AL,Gordon town,21.4,76.5,0.3,0,1.5,22250,66.8,26.9,
AL,Gordonville town,5.2,94.8,0,0,0,18224,76.1,39.2,
AL,Goshen town,76.7,22.6,0.4,0,0,40132,71.2,31.9,
AL,Graham CDP,83.9,16.1,0,0,0,41914,74,4.5,
AL,Grand Bay CDP,86.9,9.4,0.6,0.7,2.3,48767,84.6,6.4,
AL,Grant town,98.1,0,0,0.4,1.3,55000,89.2,7.2,
AL,Grayson Valley CDP,70.6,25.8,0.3,0.9,2.2,46250,90.4,8.9,
AL,Graysville city,73.9,23.6,0.4,0.2,1.7,41282,79.8,17.4,
AL,Greensboro city,32,66.5,0.2,0.8,0.5,21797,75,39.3,
AL,Greenville city,41.7,55.5,0,1.8,1.3,29741,78.4,25.8,
AL,Grimes town,55.9,36.7,0,0,2.9,31579,84.5,19.1,
AL,Grove Hill town,56.6,41.3,0.3,0.3,2,31786,85.8,26.1,
AL,Guin city,86.9,10.9,0,0.1,1.3,23000,75.4,37.5,
AL,Gulfcrest CDP,88.2,3.1,5.6,0,1.2,68462,87.2,0,
AL,Gulf Shores city,93.4,1.5,0.5,0.9,4,47662,92.9,16.6,
AL,Guntersville city,85.8,7.8,0.5,1.5,3.8,39756,83.1,16.2,
AL,Gurley town,76.3,17.1,1.7,1.2,3.5,32500,74.5,30.8,
AL,Gu-Win town,85.8,5.1,4,0,4,39000,87.2,12,
AL,Hackleburg town,97.7,0.1,0.2,0,1.3,28819,76.5,25.7,
AL,Hackneyville CDP,97.7,0.9,0.3,1.2,0.3,60474,95.1,17.8,
AL,Haleburg town,94.2,4.9,0,0,0,54167,80,8.3,
AL,Haleyville city,92.1,0.7,1,0.5,6,24291,70.7,26.8,
AL,Hamilton city,89.3,7.7,0.4,0.2,3.1,33053,82.7,18.5,
AL,Hammondville town,90,0.8,0.2,0.6,6.8,43281,74.5,8,
AL,Hanceville city,92.4,3.6,0.2,0.7,2.4,29231,77.7,25.8,
AL,Harpersville town,73.1,23.5,0.3,0.7,2.6,35972,80.7,18.8,
AL,Hartford city,77.9,17.9,0.6,0.1,3.1,22094,70.6,36.7,
AL,Hartselle city,91.5,4.3,0.8,0.4,2.5,53878,91.9,6.9,
AL,Harvest CDP,62.2,31.7,0.5,1.2,3.1,63708,90.6,5.5,
AL,Hatton CDP,89.7,0,7.3,0,0,(X),83.2,0,
AL,Hayden town,87.6,8.8,0.7,0.2,0,50795,83.4,7.9,
AL,Hayneville town,15,84.5,0,0,0.1,18802,72.1,44.4,
AL,Hazel Green CDP,88.9,5.9,1.5,0.4,2.3,41938,88.2,14.9,
AL,Headland city,70.1,27.5,0.4,0.3,1.4,51822,88.1,13.1,
AL,Heath town,88.6,10.6,0,0,1.2,38333,80.3,32.5,
AL,Heflin city,87.3,9.4,0.5,0.1,2.4,25823,74.3,22.6,
AL,Helena city,82.5,13.1,0.2,1.5,3.3,84615,97.7,2.1,
AL,Henagar city,96.2,0,1.8,0,1.4,30757,71.7,19.4,
AL,Highland Lake town,98.8,0,1,0.2,0.7,51250,94.3,9.2,
AL,Highland Lakes CDP,87.6,7.6,0.2,2.3,1.6,124291,97.6,2,
AL,Hillsboro town,14.1,80.1,1.8,0.2,1.6,34712,74.6,17.6,
AL,Hissop CDP,25.1,74.3,0,0.2,2,25032,73.8,23.2,
AL,Hobson CDP,99.2,0,0,0,0,(X),63.6,0,
AL,Hobson City town,12.6,85.9,0,0.4,1.3,25563,77.3,41.3,
AL,Hodges town,98.6,0,1.4,0,1,29583,69.3,26.9,
AL,Hokes Bluff city,98.5,0.3,0.1,0.4,0.2,46042,89.2,13.7,
AL,Hollins CDP,89.4,7.7,0.6,0,0.7,(X),68.2,24.4,
AL,Hollis Crossroads CDP,86,5.4,0.3,0,8.4,34408,71.4,29,
AL,Holly Pond town,98.5,0.3,0.4,0,1.4,44750,90.4,19,
AL,Hollywood town,75.8,14.8,1.7,0.3,4.9,29306,71.3,20.3,
AL,Holt CDP,39.4,55.2,0.4,0.2,7.2,30446,75,46.4,
AL,Holtville CDP,90.4,7.4,0.5,0.2,1.3,52713,85.6,11.1,
AL,Homewood city,74.6,17.3,0.2,2.2,7.3,61626,93.5,12.7,
AL,Hoover city,75.1,14.8,0.2,5.1,6,77146,95.2,6,
AL,Horn Hill town,91.7,1.3,3.9,0,3.1,34464,66.3,10.2,
AL,Hueytown city,70,27.2,0.3,0.5,2,42172,86.5,14.3,
AL,Huguley CDP,73,25,0.6,0.2,1.2,42063,79.3,16.3,
AL,Huntsville city,60.3,31.2,0.6,2.4,5.8,48775,90.2,18.2,
AL,Hurtsboro town,29.1,69.6,0.5,0,2.2,19732,75.3,46,
AL,Hytop town,91.5,0.3,4.5,0,3.4,38542,70.6,14.7,
AL,Ider town,93.2,0.6,4,0,0.1,32692,80.5,15.4,
AL,Indian Springs Village city,95.7,1.5,0.2,1.9,0.9,96346,97.2,4.4,
AL,Irondale city,56.3,35.4,0.3,1.4,7.8,47351,87.4,20.5,
AL,Ivalee CDP,96.1,1.6,0.5,0,1.4,50737,77,0,
AL,Jackson city,54.9,42.9,0.7,0.4,1.4,31232,85.8,24.7,
AL,Jacksons' Gap town,68.2,28.9,0.5,0.5,1.9,36719,67.1,26.1,
AL,Jacksonville city,68.7,26.8,0.5,1.3,2.3,38903,89,31.2,
AL,Jasper city,81.3,13.4,0.3,0.7,4.4,39695,85.3,22.3,
AL,Jemison city,77.8,17.7,0.1,0.1,7,38500,77.8,24.9,
AL,Joppa CDP,81.4,0.2,0.8,0,17.2,23672,67.3,0,
AL,Kansas town,100,0,0,0,0,38542,66.4,25.3,
AL,Kellyton town,68.2,19.8,0,0,11.5,29688,71.3,29.8,
AL,Kennedy town,83.4,14.3,0,0.2,0.9,35054,82.6,10.9,
AL,Killen town,94,3.2,0.3,0.5,2.4,55313,87.1,17.7,
AL,Kimberly town,96.2,1.8,0.4,0.6,0.8,#N/A,#N/A,#N/A,
AL,Kinsey town,49.9,46,0.3,0.1,4,37109,75.9,16.2,
AL,Kinston town,95.6,0.2,2,0.6,0.9,23571,69.5,30.2,
AL,Ladonia CDP,86.5,9.8,0.7,0.3,2.7,32713,84.4,26,
AL,La Fayette city,29.3,68.8,0.1,0.4,1.9,25666,69.7,24.8,
AL,Lakeview town,86.7,0,3.5,0,0,46250,92.3,13.5,
AL,Lake View town,93.9,4.2,0.1,0.7,0.6,88594,95.7,2.2,
AL,Lanett city,39.3,57.5,0.2,0.1,2.4,25220,77.2,29.8,
AL,Langston town,94.4,1.1,0,0,0,31875,85.1,24.6,
AL,Leeds city,78.7,14.3,0.4,0.6,6.6,52689,87.2,15.4,
AL,Leesburg town,96.5,1.1,0,0,1.3,41397,80.5,18,
AL,Leighton town,43.3,53.2,0.3,0.1,0.5,22500,71.9,25.6,
AL,Leroy CDP,78.6,20.1,0.2,0,0.2,47365,99.3,6.7,
AL,Lester town,99.1,0,0,0,0.9,(X),89,16.1,
AL,Level Plains town,75.3,12.4,0.5,1.5,11,65769,91.3,11.1,
AL,Lexington town,98.4,0,0.5,0.1,0.8,35521,87.1,21.3,
AL,Libertyville town,88.9,0.9,1.7,0,4.3,44286,77.3,4.8,
AL,Lincoln city,73.3,23.4,0.5,0.4,1.9,55605,87.5,12.7,
AL,Linden city,51.1,46.7,0.1,0.2,2,29722,87.1,25.1,
AL,Lineville city,58.6,36.9,0.3,0.2,4.6,31472,77.8,12.9,
AL,Lipscomb city,22,61,1.1,0,19.7,26163,71,30.6,
AL,Lisman town,6.7,92.2,0,0,0.2,28750,67.2,44.9,
AL,Littleville town,96.5,0.7,0.7,0.6,1.8,49107,81.8,7.7,
AL,Livingston city,34.6,63.9,0.1,0.3,0.7,14426,86,55.2,
AL,Loachapoka town,58.9,37.2,0,2.8,1.1,34688,89.5,31.8,
AL,Lockhart town,72.7,25.2,0.2,0,1.4,36250,82.2,14.9,
AL,Locust Fork town,97,0.6,0.8,0,2.4,57143,81.9,14.2,
AL,Lookout Mountain CDP,95.9,2.3,0.4,0,1.2,51058,82.3,14.9,
AL,Louisville town,49.3,44.1,0.8,0,7.9,34286,65.7,11.8,
AL,Lowndesboro town,76.5,20.9,0,0,0.9,39375,90.2,3.4,
AL,Loxley town,84.4,9.4,0.7,0.6,5.1,48000,85.3,20,
AL,Luverne city,62.6,29.6,0.3,5.5,1.9,29844,77.9,20.3,
AL,Lynn town,98,0,0.3,0,0.9,33452,74.8,27.9,
AL,McDonald Chapel CDP,55.8,39.3,0,0.6,2.8,15588,60.3,62.6,
AL,Macedonia CDP,8.9,91.1,0,0,0,(X),81.4,4.2,
AL,McIntosh town,37,55.5,4.2,0.4,2.9,48625,95.8,13.7,
AL,McKenzie town,67.7,29.8,0.4,0,0.4,31500,75.5,22.5,
AL,McMullen town,10,60,0,0,30,(X),40,40,
AL,Madison city,74,14.6,0.5,7,4.3,92960,95.7,6.7,
AL,Madrid town,88.9,8.6,0.6,0.9,3.1,38750,70.6,14.9,
AL,Magnolia Springs town,96.3,0.1,0.6,0.4,2.8,47614,89.1,5.3,
AL,Malcolm CDP,40.1,57.2,0.5,0.5,0,(X),90.1,63.7,
AL,Malvern town,91.2,4.8,0.7,0.1,4.8,37000,74,19.8,
AL,Maplesville town,68.9,28.5,0.1,0,1.1,32788,77.3,29.1,
AL,Marbury CDP,92.2,3.8,0.1,0,3.8,37672,83.8,9.9,
AL,Margaret town,77.3,19.3,0.3,0.8,1.6,64789,92.5,10.1,
AL,Marion city,34.3,64.1,0.2,0.6,1.9,31029,81.4,33,
AL,Maytown town,89.4,9.6,0.3,0,0,43750,88.4,9.2,
AL,Meadowbrook CDP,92.8,3.9,0.1,2.1,1.6,92193,94,6.5,
AL,Megargel CDP,91.9,3.2,3.2,0,0,-,53.1,46.9,
AL,Memphis town,0,100,0,0,0,(X),29.4,60.5,
AL,Mentone town,92.2,1.9,1.4,0,0.6,38750,87.5,10.9,
AL,Meridianville CDP,76.3,18.5,0.7,1.7,2.7,68368,86.6,15.4,
AL,Midfield city,16.4,81.6,0.1,0.2,1.4,39678,90.2,20.1,
AL,Midland City town,70.4,23.3,0.5,0.4,4.1,27163,79.3,31.5,
AL,Midway town,10.6,89,0,0,0.6,24514,58.3,43.1,
AL,Mignon CDP,64.9,27.1,0.1,0.5,6.9,32452,75.2,26,
AL,Millbrook city,74.2,21.6,0.4,0.8,2.8,58330,91.3,11.6,
AL,Millerville CDP,91.7,7.6,0,0.7,0,24861,70.7,8.8,
AL,Millport town,64.7,33.7,0.1,0,1,32443,79.6,22.4,
AL,Millry town,60.4,37.9,0.5,0.2,0.4,37813,86.1,26,
AL,Minor CDP,77.6,20.9,0.3,0,1.5,45000,88.9,10.8,
AL,Mobile city,45,50.6,0.3,1.8,2.4,38776,86.9,23.3,
AL,Monroeville city,42.1,55.7,0.3,0.3,0.8,30678,82.3,36.7,
AL,Montevallo city,70.2,24.6,0.3,0.6,5.7,34760,86.6,25.5,
AL,Montgomery city,37.3,56.6,0.2,2.2,3.9,42927,85.5,24.1,
AL,Moody city,88.2,7.8,0.3,1.4,2.1,61049,87.9,9.9,
