DATE,ARUR
1976-01-01,6.9166666666666667
1977-01-01,6.4750000000000000
1978-01-01,6.2250000000000000
1979-01-01,6.2833333333333333
1980-01-01,7.5333333333333333
1981-01-01,8.6000000000000000
1982-01-01,9.4666666666666667
1983-01-01,9.7000000000000000
1984-01-01,8.5333333333333333
1985-01-01,8.4916666666666667
1986-01-01,8.5416666666666667
1987-01-01,8.1416666666666667
1988-01-01,7.7000000000000000
1989-01-01,7.0416666666666667
1990-01-01,6.8750000000000000
1991-01-01,7.3083333333333333
1992-01-01,7.0000000000000000
1993-01-01,6.1333333333333333
1994-01-01,5.4416666666666667
1995-01-01,4.8666666666666667
1996-01-01,5.1666666666666667
1997-01-01,5.1083333333333333
1998-01-01,5.0500000000000000
1999-01-01,4.5333333333333333
2000-01-01,4.1750000000000000
2001-01-01,4.7583333333333333
2002-01-01,5.3333333333333333
2003-01-01,5.7583333333333333
2004-01-01,5.5833333333333333
2005-01-01,5.2583333333333333
2006-01-01,5.2500000000000000
2007-01-01,5.3916666666666667
2008-01-01,5.4416666666666667
2009-01-01,7.7250000000000000
2010-01-01,7.8583333333333333
2011-01-01,7.9083333333333333
2012-01-01,7.2666666666666667
2013-01-01,7.0416666666666667
2014-01-01,5.9000000000000000
2015-01-01,4.9500000000000000
2016-01-01,3.9833333333333333
2017-01-01,3.7416666666666667
2018-01-01,3.6583333333333333
2019-01-01,3.4916666666666667
2020-01-01,6.2000000000000000
2021-01-01,4.0750000000000000
2022-01-01,3.3000000000000000
2023-01-01,.
