DATE,WAUR
1976-01-01,8.7833333333333333
1977-01-01,8.3750000000000000
1978-01-01,6.8083333333333333
1979-01-01,6.7916666666666667
1980-01-01,7.9250000000000000
1981-01-01,9.3250000000000000
1982-01-01,11.6333333333333333
1983-01-01,11.2000000000000000
1984-01-01,9.3166666666666667
1985-01-01,8.2416666666666667
1986-01-01,8.0916666666666667
1987-01-01,7.3000000000000000
1988-01-01,6.2833333333333333
1989-01-01,5.9166666666666667
1990-01-01,5.1666666666666667
1991-01-01,6.0916666666666667
1992-01-01,7.1916666666666667
1993-01-01,7.2750000000000000
1994-01-01,6.2916666666666667
1995-01-01,6.2250000000000000
1996-01-01,5.9083333333333333
1997-01-01,4.9416666666666667
1998-01-01,4.8333333333333333
1999-01-01,4.8250000000000000
2000-01-01,5.0916666666666667
2001-01-01,6.0083333333333333
2002-01-01,7.0750000000000000
2003-01-01,7.2333333333333333
2004-01-01,6.3000000000000000
2005-01-01,5.5916666666666667
2006-01-01,5.0000000000000000
2007-01-01,4.6000000000000000
2008-01-01,5.2916666666666667
2009-01-01,8.2666666666666667
2010-01-01,9.1333333333333333
2011-01-01,8.5250000000000000
2012-01-01,7.6416666666666667
2013-01-01,6.6333333333333333
2014-01-01,5.9250000000000000
2015-01-01,5.4333333333333333
2016-01-01,5.2250000000000000
2017-01-01,4.6416666666666667
2018-01-01,4.4250000000000000
2019-01-01,4.2333333333333333
2020-01-01,8.4500000000000000
2021-01-01,5.2083333333333333
2022-01-01,4.1750000000000000
2023-01-01,.
