DATE,ORUR
1976-01-01,9.2666666666666667
1977-01-01,7.4333333333333333
1978-01-01,6.1166666666666667
1979-01-01,6.7250000000000000
1980-01-01,8.4166666666666667
1981-01-01,9.7000000000000000
1982-01-01,11.3583333333333333
1983-01-01,10.8333333333333333
1984-01-01,9.3000000000000000
1985-01-01,8.6583333333333333
1986-01-01,7.9250000000000000
1987-01-01,6.1583333333333333
1988-01-01,5.7333333333333333
1989-01-01,5.3333333333333333
1990-01-01,5.4000000000000000
1991-01-01,6.2000000000000000
1992-01-01,7.2750000000000000
1993-01-01,6.9833333333333333
1994-01-01,5.3083333333333333
1995-01-01,4.7666666666666667
1996-01-01,5.5583333333333333
1997-01-01,5.5500000000000000
1998-01-01,5.6416666666666667
1999-01-01,5.4666666666666667
2000-01-01,5.1916666666666667
2001-01-01,6.3750000000000000
2002-01-01,7.4750000000000000
2003-01-01,8.0166666666666667
2004-01-01,7.3416666666666667
2005-01-01,6.1916666666666667
2006-01-01,5.3916666666666667
2007-01-01,5.1583333333333333
2008-01-01,6.2750000000000000
2009-01-01,10.7916666666666667
2010-01-01,10.6916666666666667
2011-01-01,9.6083333333333333
2012-01-01,8.8083333333333333
2013-01-01,7.7500000000000000
2014-01-01,6.6416666666666667
2015-01-01,5.4666666666666667
2016-01-01,4.7500000000000000
2017-01-01,4.0583333333333333
2018-01-01,4.0416666666666667
2019-01-01,3.7250000000000000
2020-01-01,7.6166666666666667
2021-01-01,5.2083333333333333
2022-01-01,4.1333333333333333
2023-01-01,.
