DATE,COUR
1976-01-01,5.9166666666666667
1977-01-01,6.3500000000000000
1978-01-01,5.5583333333333333
1979-01-01,4.6166666666666667
1980-01-01,5.8833333333333333
1981-01-01,5.6416666666666667
1982-01-01,7.6083333333333333
1983-01-01,7.1166666666666667
1984-01-01,5.4916666666666667
1985-01-01,5.9833333333333333
1986-01-01,7.5166666666666667
1987-01-01,7.5416666666666667
1988-01-01,6.4166666666666667
1989-01-01,5.5833333333333333
1990-01-01,5.1333333333333333
1991-01-01,5.2833333333333333
1992-01-01,6.0916666666666667
1993-01-01,5.3833333333333333
1994-01-01,4.1416666666666667
1995-01-01,4.0250000000000000
1996-01-01,4.1666666666666667
1997-01-01,3.3583333333333333
1998-01-01,3.6166666666666667
1999-01-01,3.0166666666666667
2000-01-01,2.7416666666666667
2001-01-01,3.8166666666666667
2002-01-01,5.6833333333333333
2003-01-01,6.1083333333333333
2004-01-01,5.5666666666666667
2005-01-01,5.0750000000000000
2006-01-01,4.2750000000000000
2007-01-01,3.7000000000000000
2008-01-01,4.8750000000000000
2009-01-01,7.8750000000000000
2010-01-01,9.1416666666666667
2011-01-01,8.6916666666666667
2012-01-01,8.0000000000000000
2013-01-01,6.7500000000000000
2014-01-01,4.9833333333333333
2015-01-01,3.7416666666666667
2016-01-01,3.1333333333333333
2017-01-01,2.6083333333333333
2018-01-01,3.0500000000000000
2019-01-01,2.6666666666666667
2020-01-01,6.7666666666666667
2021-01-01,5.4583333333333333
2022-01-01,3.0166666666666667
2023-01-01,.
