DATE,NMUR
1976-01-01,8.7166666666666667
1977-01-01,7.7333333333333333
1978-01-01,6.1916666666666667
1979-01-01,6.6666666666666667
1980-01-01,7.6083333333333333
1981-01-01,7.2250000000000000
1982-01-01,9.0333333333333333
1983-01-01,9.7083333333333333
1984-01-01,7.7166666666666667
1985-01-01,8.5750000000000000
1986-01-01,9.2333333333333333
1987-01-01,8.9250000000000000
1988-01-01,7.5916666666666667
1989-01-01,6.7500000000000000
1990-01-01,6.6750000000000000
1991-01-01,7.2666666666666667
1992-01-01,7.3166666666666667
1993-01-01,7.2833333333333333
1994-01-01,6.5333333333333333
1995-01-01,6.6500000000000000
1996-01-01,7.4833333333333333
1997-01-01,6.4333333333333333
1998-01-01,6.2416666666666667
1999-01-01,5.6000000000000000
2000-01-01,5.0250000000000000
2001-01-01,4.9583333333333333
2002-01-01,5.4833333333333333
2003-01-01,5.9000000000000000
2004-01-01,5.5583333333333333
2005-01-01,5.1833333333333333
2006-01-01,4.2333333333333333
2007-01-01,3.5916666666666667
2008-01-01,4.3000000000000000
2009-01-01,7.0500000000000000
2010-01-01,7.7750000000000000
2011-01-01,7.2166666666666667
2012-01-01,6.9666666666666667
2013-01-01,6.9083333333333333
2014-01-01,6.5916666666666667
2015-01-01,6.6000000000000000
2016-01-01,6.7500000000000000
2017-01-01,6.0416666666666667
2018-01-01,4.9250000000000000
2019-01-01,4.9583333333333333
2020-01-01,7.9250000000000000
2021-01-01,7.0583333333333333
2022-01-01,4.0250000000000000
2023-01-01,.
