DATE,MNUR
1976-01-01,5.8000000000000000
1977-01-01,5.2750000000000000
1978-01-01,3.9083333333333333
1979-01-01,4.3250000000000000
1980-01-01,5.7583333333333333
1981-01-01,5.7583333333333333
1982-01-01,7.9250000000000000
1983-01-01,7.9250000000000000
1984-01-01,6.2916666666666667
1985-01-01,6.0250000000000000
1986-01-01,5.5833333333333333
1987-01-01,5.0833333333333333
1988-01-01,4.3166666666666667
1989-01-01,4.3500000000000000
1990-01-01,4.7083333333333333
1991-01-01,5.1083333333333333
1992-01-01,5.0333333333333333
1993-01-01,4.8416666666666667
1994-01-01,4.0166666666666667
1995-01-01,3.6666666666666667
1996-01-01,3.7833333333333333
1997-01-01,3.2250000000000000
1998-01-01,2.6750000000000000
1999-01-01,2.7083333333333333
2000-01-01,3.0333333333333333
2001-01-01,3.7750000000000000
2002-01-01,4.4666666666666667
2003-01-01,4.7833333333333333
2004-01-01,4.5833333333333333
2005-01-01,4.1000000000000000
2006-01-01,4.0583333333333333
2007-01-01,4.5833333333333333
2008-01-01,5.4333333333333333
2009-01-01,7.9083333333333333
2010-01-01,7.3916666666666667
2011-01-01,6.5250000000000000
2012-01-01,5.6500000000000000
2013-01-01,5.0416666666666667
2014-01-01,4.2666666666666667
2015-01-01,3.7916666666666667
2016-01-01,3.8750000000000000
2017-01-01,3.4833333333333333
2018-01-01,3.0250000000000000
2019-01-01,3.2500000000000000
2020-01-01,6.2666666666666667
2021-01-01,3.7833333333333333
2022-01-01,2.6666666666666667
2023-01-01,.
