DATE,MOUR
1976-01-01,6.1833333333333333
1977-01-01,6.0166666666666667
1978-01-01,4.9000000000000000
1979-01-01,4.7916666666666667
1980-01-01,7.1833333333333333
1981-01-01,7.7083333333333333
1982-01-01,9.2666666666666667
1983-01-01,9.9583333333333333
1984-01-01,7.3750000000000000
1985-01-01,6.6166666666666667
1986-01-01,6.3916666666666667
1987-01-01,6.2500000000000000
1988-01-01,5.7000000000000000
1989-01-01,5.5500000000000000
1990-01-01,5.9166666666666667
1991-01-01,6.5666666666666667
1992-01-01,6.1750000000000000
1993-01-01,6.2250000000000000
1994-01-01,5.1750000000000000
1995-01-01,4.8250000000000000
1996-01-01,4.7083333333333333
1997-01-01,4.3500000000000000
1998-01-01,4.0333333333333333
1999-01-01,3.2333333333333333
2000-01-01,3.4166666666666667
2001-01-01,4.4916666666666667
2002-01-01,5.2833333333333333
2003-01-01,5.6583333333333333
2004-01-01,5.8750000000000000
2005-01-01,5.4000000000000000
2006-01-01,4.8750000000000000
2007-01-01,5.0833333333333333
2008-01-01,6.2166666666666667
2009-01-01,9.0250000000000000
2010-01-01,9.5083333333333333
2011-01-01,8.6416666666666667
2012-01-01,7.1916666666666667
2013-01-01,6.7750000000000000
2014-01-01,6.1500000000000000
2015-01-01,5.1083333333333333
2016-01-01,4.5500000000000000
2017-01-01,3.7416666666666667
2018-01-01,3.2416666666666667
2019-01-01,3.2083333333333333
2020-01-01,6.1916666666666667
2021-01-01,4.0833333333333333
2022-01-01,2.4916666666666667
2023-01-01,.
