DATE,DEUR
1976-01-01,8.6000000000000000
1977-01-01,8.1833333333333333
1978-01-01,7.0750000000000000
1979-01-01,6.9750000000000000
1980-01-01,7.5166666666666667
1981-01-01,7.7833333333333333
1982-01-01,8.3583333333333333
1983-01-01,7.9000000000000000
1984-01-01,6.2166666666666667
1985-01-01,5.1500000000000000
1986-01-01,4.1750000000000000
1987-01-01,3.0333333333333333
1988-01-01,2.9833333333333333
1989-01-01,3.3083333333333333
1990-01-01,4.4083333333333333
1991-01-01,5.9166666666666667
1992-01-01,5.2250000000000000
1993-01-01,4.9083333333333333
1994-01-01,4.7000000000000000
1995-01-01,4.2666666666666667
1996-01-01,4.9500000000000000
1997-01-01,4.0083333333333333
1998-01-01,3.4916666666666667
1999-01-01,3.2833333333333333
2000-01-01,3.6083333333333333
2001-01-01,3.5750000000000000
2002-01-01,4.2666666666666667
2003-01-01,4.4666666666666667
2004-01-01,4.3000000000000000
2005-01-01,4.5083333333333333
2006-01-01,3.9083333333333333
2007-01-01,3.6083333333333333
2008-01-01,5.0333333333333333
2009-01-01,8.3416666666666667
2010-01-01,8.6583333333333333
2011-01-01,7.6083333333333333
2012-01-01,7.0666666666666667
2013-01-01,6.6083333333333333
2014-01-01,5.6083333333333333
2015-01-01,4.7916666666666667
2016-01-01,4.5250000000000000
2017-01-01,4.4666666666666667
2018-01-01,3.7083333333333333
2019-01-01,3.5916666666666667
2020-01-01,7.5083333333333333
2021-01-01,5.5000000000000000
2022-01-01,4.4916666666666667
2023-01-01,.
