DATE,DERQGSP
2005-01-01,59335.050000000000
2006-01-01,60624.275000000000
2007-01-01,60477.875000000000
2008-01-01,58655.675000000000
2009-01-01,61517.700000000000
2010-01-01,60577.200000000000
2011-01-01,62919.325000000000
2012-01-01,62354.600000000000
2013-01-01,60235.800000000000
2014-01-01,64940.075000000000
2015-01-01,66793.450000000000
2016-01-01,63001.350000000000
2017-01-01,60357.525000000000
2018-01-01,61425.125000000000
2019-01-01,64143.500000000000
2020-01-01,62281.750000000000
2021-01-01,64404.725000000000
2022-01-01,65754.825000000000
2023-01-01,.
