DATE,GCT1502DE
2006-01-01,27
2007-01-01,26.1
2008-01-01,27.5
2009-01-01,28.7
2010-01-01,27.8
2011-01-01,28.8
2012-01-01,29.5
2013-01-01,29.8
2014-01-01,30.6
2015-01-01,30.9
2016-01-01,31.0
2017-01-01,31.5
2018-01-01,31.3
2019-01-01,33.2
2020-01-01,34.7
2021-01-01,35.6
