DATE,RIUR
1976-01-01,8.0083333333333333
1977-01-01,8.0416666666666667
1978-01-01,6.3083333333333333
1979-01-01,6.3166666666666667
1980-01-01,7.2416666666666667
1981-01-01,7.5583333333333333
1982-01-01,9.9916666666666667
1983-01-01,8.4583333333333333
1984-01-01,5.3166666666666667
1985-01-01,4.6583333333333333
1986-01-01,4.0750000000000000
1987-01-01,3.7000000000000000
1988-01-01,2.9416666666666667
1989-01-01,3.9000000000000000
1990-01-01,6.2500000000000000
1991-01-01,8.4166666666666667
1992-01-01,8.9833333333333333
1993-01-01,7.5416666666666667
1994-01-01,6.6333333333333333
1995-01-01,6.3166666666666667
1996-01-01,5.2250000000000000
1997-01-01,5.3250000000000000
1998-01-01,4.5416666666666667
1999-01-01,4.2000000000000000
2000-01-01,4.0000000000000000
2001-01-01,4.4416666666666667
2002-01-01,5.1083333333333333
2003-01-01,5.5750000000000000
2004-01-01,5.2500000000000000
2005-01-01,5.1083333333333333
2006-01-01,5.2166666666666667
2007-01-01,5.1083333333333333
2008-01-01,7.6000000000000000
2009-01-01,11.3916666666666667
2010-01-01,11.6250000000000000
2011-01-01,11.0166666666666667
2012-01-01,10.2166666666666667
2013-01-01,9.4750000000000000
2014-01-01,7.7666666666666667
2015-01-01,6.0250000000000000
2016-01-01,5.2416666666666667
2017-01-01,4.5083333333333333
2018-01-01,4.0333333333333333
2019-01-01,3.5500000000000000
2020-01-01,9.2083333333333333
2021-01-01,5.5083333333333333
2022-01-01,3.2166666666666667
2023-01-01,.
