DATE,GAUR
1976-01-01,8.1583333333333333
1977-01-01,6.9333333333333333
1978-01-01,5.6916666666666667
1979-01-01,5.1333333333333333
1980-01-01,6.3083333333333333
1981-01-01,6.4500000000000000
1982-01-01,7.8000000000000000
1983-01-01,7.6416666666666667
1984-01-01,6.1000000000000000
1985-01-01,6.3416666666666667
1986-01-01,5.9166666666666667
1987-01-01,5.5583333333333333
1988-01-01,5.6166666666666667
1989-01-01,5.4000000000000000
1990-01-01,5.3500000000000000
1991-01-01,5.2916666666666667
1992-01-01,6.5833333333333333
1993-01-01,5.7333333333333333
1994-01-01,5.0500000000000000
1995-01-01,4.7333333333333333
1996-01-01,4.6083333333333333
1997-01-01,4.4833333333333333
1998-01-01,4.1833333333333333
1999-01-01,3.8166666666666667
2000-01-01,3.5333333333333333
2001-01-01,4.0916666666666667
2002-01-01,5.3083333333333333
2003-01-01,5.1416666666666667
2004-01-01,5.0833333333333333
2005-01-01,5.6833333333333333
2006-01-01,5.0750000000000000
2007-01-01,4.9083333333333333
2008-01-01,6.7833333333333333
2009-01-01,10.4083333333333333
2010-01-01,10.6583333333333333
2011-01-01,10.1583333333333333
2012-01-01,9.0416666666666667
2013-01-01,8.1416666666666667
2014-01-01,7.1416666666666667
2015-01-01,6.0750000000000000
2016-01-01,5.4666666666666667
2017-01-01,4.7583333333333333
2018-01-01,4.0000000000000000
2019-01-01,3.5750000000000000
2020-01-01,6.4833333333333333
2021-01-01,3.9166666666666667
2022-01-01,3.0333333333333333
2023-01-01,.
