DATE,ILURN
1976-01-01,6.5333333333333333
1977-01-01,6.2000000000000000
1978-01-01,6.0083333333333333
1979-01-01,5.5416666666666667
1980-01-01,8.1833333333333333
1981-01-01,8.6166666666666667
1982-01-01,11.4000000000000000
1983-01-01,11.7000000000000000
1984-01-01,9.1333333333333333
1985-01-01,9.0750000000000000
1986-01-01,8.3000000000000000
1987-01-01,7.4666666666666667
1988-01-01,6.7416666666666667
1989-01-01,6.0750000000000000
1990-01-01,6.2833333333333333
1991-01-01,7.2916666666666667
1992-01-01,7.8500000000000000
1993-01-01,7.4833333333333333
1994-01-01,5.8166666666666667
1995-01-01,5.2083333333333333
1996-01-01,5.3000000000000000
1997-01-01,4.8000000000000000
1998-01-01,4.4750000000000000
1999-01-01,4.3916666666666667
2000-01-01,4.4333333333333333
2001-01-01,5.4416666666666667
2002-01-01,6.5583333333333333
2003-01-01,6.7500000000000000
2004-01-01,6.1916666666666667
2005-01-01,5.7166666666666667
2006-01-01,4.5833333333333333
2007-01-01,5.0833333333333333
2008-01-01,6.4833333333333333
2009-01-01,10.1916666666666667
2010-01-01,10.5000000000000000
2011-01-01,9.7750000000000000
2012-01-01,9.0250000000000000
2013-01-01,9.0750000000000000
2014-01-01,7.1666666666666667
2015-01-01,6.0333333333333333
2016-01-01,5.8916666666666667
2017-01-01,4.9333333333333333
2018-01-01,4.3750000000000000
2019-01-01,3.9833333333333333
2020-01-01,9.3500000000000000
2021-01-01,6.0583333333333333
2022-01-01,4.5666666666666667
2023-01-01,.
