DATE,DCUR
1976-01-01,8.6166666666666667
1977-01-01,8.6250000000000000
1978-01-01,7.7916666666666667
1979-01-01,6.8416666666666667
1980-01-01,7.4333333333333333
1981-01-01,8.6833333333333333
1982-01-01,10.3416666666666667
1983-01-01,10.9000000000000000
1984-01-01,8.8833333333333333
1985-01-01,7.9666666666666667
1986-01-01,7.3666666666666667
1987-01-01,6.2666666666666667
1988-01-01,5.0250000000000000
1989-01-01,4.8083333333333333
1990-01-01,5.8916666666666667
1991-01-01,7.7000000000000000
1992-01-01,8.5833333333333333
1993-01-01,8.4000000000000000
1994-01-01,7.9333333333333333
1995-01-01,8.6083333333333333
1996-01-01,8.4250000000000000
1997-01-01,8.1416666666666667
1998-01-01,8.3166666666666667
1999-01-01,6.5750000000000000
2000-01-01,5.6916666666666667
2001-01-01,6.4666666666666667
2002-01-01,6.9833333333333333
2003-01-01,7.2750000000000000
2004-01-01,8.0833333333333333
2005-01-01,6.9916666666666667
2006-01-01,6.3250000000000000
2007-01-01,5.9500000000000000
2008-01-01,6.8500000000000000
2009-01-01,10.0000000000000000
2010-01-01,9.9500000000000000
2011-01-01,10.1916666666666667
2012-01-01,8.9750000000000000
2013-01-01,8.4333333333333333
2014-01-01,7.7083333333333333
2015-01-01,6.9166666666666667
2016-01-01,6.2333333333333333
2017-01-01,6.1000000000000000
2018-01-01,5.6833333333333333
2019-01-01,5.4750000000000000
2020-01-01,7.8833333333333333
2021-01-01,6.8333333333333333
2022-01-01,4.6166666666666667
2023-01-01,.
