DATE,MEUR
1976-01-01,8.6500000000000000
1977-01-01,8.3583333333333333
1978-01-01,6.4166666666666667
1979-01-01,6.6250000000000000
1980-01-01,7.4750000000000000
1981-01-01,7.2416666666666667
1982-01-01,8.5833333333333333
1983-01-01,8.2833333333333333
1984-01-01,6.1250000000000000
1985-01-01,5.5583333333333333
1986-01-01,5.2750000000000000
1987-01-01,4.3666666666666667
1988-01-01,3.6833333333333333
1989-01-01,4.0083333333333333
1990-01-01,5.3583333333333333
1991-01-01,7.7833333333333333
1992-01-01,7.3333333333333333
1993-01-01,6.8166666666666667
1994-01-01,6.5666666666666667
1995-01-01,5.8750000000000000
1996-01-01,5.3250000000000000
1997-01-01,5.1916666666666667
1998-01-01,4.4583333333333333
1999-01-01,4.0083333333333333
2000-01-01,3.3333333333333333
2001-01-01,3.7500000000000000
2002-01-01,4.4583333333333333
2003-01-01,5.1500000000000000
2004-01-01,4.6583333333333333
2005-01-01,4.8916666666666667
2006-01-01,4.7166666666666667
2007-01-01,4.6916666666666667
2008-01-01,5.4000000000000000
2009-01-01,8.3916666666666667
2010-01-01,8.4166666666666667
2011-01-01,7.7250000000000000
2012-01-01,7.1916666666666667
2013-01-01,6.6833333333333333
2014-01-01,5.5583333333333333
2015-01-01,4.3833333333333333
2016-01-01,3.7750000000000000
2017-01-01,3.3583333333333333
2018-01-01,3.1750000000000000
2019-01-01,2.9416666666666667
2020-01-01,5.1166666666666667
2021-01-01,4.6166666666666667
2022-01-01,2.9416666666666667
2023-01-01,.
