,Country,Country_code,Year,Gini,real_GDP,cpi,ip,unrate
0,Australia,AUS,1993-01-01,33.95,221619.25,1.7538390815721925,56.46082464776823,10.880850633333333
1,Australia,AUS,1994-01-01,33.95,232355.75,1.96818289487244,59.257840228277175,9.7134383
2,Australia,AUS,1995-01-01,32.6,239223.25,4.62381006889887,60.9504363954138,8.471991958333334
3,Australia,AUS,1996-01-01,33.95,248867.0,2.6263754223473175,63.42827373556538,8.513907591666667
4,Australia,AUS,1997-01-01,33.95,260326.25,0.228107183829143,64.26431956065207,8.362598983333333
5,Australia,AUS,1998-01-01,33.95,272430.5,0.8616775495647377,66.34868851683015,7.683415158333333
6,Australia,AUS,1999-01-01,33.95,284276.0,1.4819468564933276,66.96811902894923,6.868374525
7,Australia,AUS,2000-01-01,33.95,293085.25,4.447077363003985,70.84719161208312,6.277927225
8,Australia,AUS,2001-01-01,33.5,300899.75,4.441672930239655,71.91362716489645,6.770232408333333
9,Australia,AUS,2002-01-01,33.95,313443.5,2.981602793920095,73.7672025814228,6.366689658333334
10,Australia,AUS,2003-01-01,33.5,322898.5,2.73465112626961,73.76502666650914,5.93010245
11,Australia,AUS,2004-01-01,33.1,336167.25,2.342869111971255,74.48747093931817,5.391979658333334
12,Australia,AUS,2005-01-01,33.95,346240.75,2.6906969080791674,76.00078694705307,5.032163533333334
13,Australia,AUS,2006-01-01,33.95,355249.5,3.5541362529982723,77.3673579039602,4.773544908333333
14,Australia,AUS,2007-01-01,33.95,370766.5,2.328236756325515,80.2755392761316,4.3705903416666665
15,Australia,AUS,2008-01-01,35.4,380265.75,4.351552954371193,82.79920453044407,4.242183633333333
16,Australia,AUS,2009-01-01,33.95,387532.75,1.7746094783381774,82.27893484600582,5.568762316666667
17,Australia,AUS,2010-01-01,34.7,396984.75,2.9190444779918576,85.85598383244708,5.208361575
18,Australia,AUS,2011-01-01,33.95,408206.0,3.304457060192105,86.72674073497433,5.082277908333333
19,Australia,AUS,2012-01-01,33.95,423624.0,1.76144116244171,90.08366155478687,5.22530095
20,Australia,AUS,2013-01-01,33.95,432974.25,2.4497847462984477,92.62952478559545,5.668361841666667
21,Australia,AUS,2014-01-01,34.4,444028.5,2.4926253154838376,97.5905982234196,6.0631136083333335
22,Australia,AUS,2015-01-01,33.95,454295.75,1.507861822899375,99.96189069326132,6.057136891666667
23,Australia,AUS,2016-01-01,33.7,466571.25,1.2766070734045925,102.318858937023,5.713995991666667
24,Australia,AUS,2017-01-01,33.95,477665.75,1.94915982306555,103.685887891608,5.593838325
25,Australia,AUS,2018-01-01,34.3,490929.25,1.91183999893654,107.85220206348775,5.301244733333333
26,Australia,AUS,2019-01-01,34.3,500662.25,1.6098922907028725,110.234473324448,5.1739451333333335
29,Sweden,SE,1993-01-01,27.57,557272.825,0.3365746689179972,68.42181830659537,9.33
30,Sweden,SE,1994-01-01,27.57,578388.425,0.20381561361122452,76.01206069238803,9.58
31,Sweden,SE,1995-01-01,25.2,602380.8,0.17463746334780236,84.00711600542296,8.9
32,Sweden,SE,1996-01-01,27.57,611941.225,-0.0151751802336275,85.1709531712445,9.55
33,Sweden,SE,1997-01-01,27.57,631880.25,0.13675870309845875,89.55642654970248,10.36
34,Sweden,SE,1998-01-01,27.57,658605.65,-0.10096959650929942,93.32624693464616,8.94
