DATE,PAUR
1976-01-01,8.0083333333333333
1977-01-01,7.7416666666666667
1978-01-01,7.0083333333333333
1979-01-01,6.9750000000000000
1980-01-01,8.1416666666666667
1981-01-01,8.3666666666666667
1982-01-01,10.9000000000000000
1983-01-01,11.1083333333333333
1984-01-01,8.9333333333333333
1985-01-01,8.0000000000000000
1986-01-01,6.9833333333333333
1987-01-01,5.7500000000000000
1988-01-01,5.1333333333333333
1989-01-01,4.9000000000000000
1990-01-01,5.5166666666666667
1991-01-01,6.9166666666666667
1992-01-01,7.4500000000000000
1993-01-01,6.9333333333333333
1994-01-01,6.3166666666666667
1995-01-01,5.8750000000000000
1996-01-01,5.4916666666666667
1997-01-01,5.1416666666666667
1998-01-01,4.6916666666666667
1999-01-01,4.4916666666666667
2000-01-01,4.2250000000000000
2001-01-01,4.8083333333333333
2002-01-01,5.5333333333333333
2003-01-01,5.7000000000000000
2004-01-01,5.3583333333333333
2005-01-01,4.9833333333333333
2006-01-01,4.7083333333333333
2007-01-01,4.5583333333333333
2008-01-01,5.3500000000000000
2009-01-01,7.9750000000000000
2010-01-01,8.1666666666666667
2011-01-01,7.7416666666666667
2012-01-01,7.6583333333333333
2013-01-01,7.1000000000000000
2014-01-01,5.9333333333333333
2015-01-01,5.3916666666666667
2016-01-01,5.3416666666666667
2017-01-01,4.9750000000000000
2018-01-01,4.4166666666666667
2019-01-01,4.3250000000000000
2020-01-01,8.9166666666666667
2021-01-01,6.0333333333333333
2022-01-01,4.3500000000000000
2023-01-01,.
