DATE,MAUR
1976-01-01,9.7416666666666667
1977-01-01,7.8666666666666667
1978-01-01,6.1583333333333333
1979-01-01,5.4833333333333333
1980-01-01,5.7666666666666667
1981-01-01,6.3916666666666667
1982-01-01,7.7916666666666667
1983-01-01,6.9333333333333333
1984-01-01,4.7750000000000000
1985-01-01,4.1500000000000000
1986-01-01,4.0000000000000000
1987-01-01,3.3416666666666667
1988-01-01,3.3083333333333333
1989-01-01,4.2250000000000000
1990-01-01,6.3833333333333333
1991-01-01,8.8583333333333333
1992-01-01,8.7750000000000000
1993-01-01,7.3000000000000000
1994-01-01,6.2333333333333333
1995-01-01,5.4583333333333333
1996-01-01,4.6166666666666667
1997-01-01,4.0583333333333333
1998-01-01,3.3750000000000000
1999-01-01,3.2833333333333333
2000-01-01,2.8166666666666667
2001-01-01,3.7833333333333333
2002-01-01,5.2166666666666667
2003-01-01,5.7333333333333333
2004-01-01,5.1083333333333333
2005-01-01,4.8000000000000000
2006-01-01,4.7000000000000000
2007-01-01,4.5166666666666667
2008-01-01,5.3333333333333333
2009-01-01,8.0750000000000000
2010-01-01,8.0583333333333333
2011-01-01,7.2250000000000000
2012-01-01,6.7000000000000000
2013-01-01,6.6416666666666667
2014-01-01,5.7416666666666667
2015-01-01,4.7916666666666667
2016-01-01,4.0416666666666667
2017-01-01,3.7916666666666667
2018-01-01,3.4750000000000000
2019-01-01,3.0166666666666667
2020-01-01,9.4250000000000000
2021-01-01,5.5250000000000000
2022-01-01,3.7666666666666667
2023-01-01,.
