DATE,FLUR
1976-01-01,9.3000000000000000
1977-01-01,8.2750000000000000
1978-01-01,6.7583333333333333
1979-01-01,5.9916666666666667
1980-01-01,5.9833333333333333
1981-01-01,6.8000000000000000
1982-01-01,8.4833333333333333
1983-01-01,8.6416666666666667
1984-01-01,6.5916666666666667
1985-01-01,6.0750000000000000
1986-01-01,5.8416666666666667
1987-01-01,5.4000000000000000
1988-01-01,5.1916666666666667
1989-01-01,5.6083333333333333
1990-01-01,6.2333333333333333
1991-01-01,7.6416666666666667
1992-01-01,8.3666666666666667
1993-01-01,7.4000000000000000
1994-01-01,6.4750000000000000
1995-01-01,5.6000000000000000
1996-01-01,5.2833333333333333
1997-01-01,4.9250000000000000
1998-01-01,4.4500000000000000
1999-01-01,3.9333333333333333
2000-01-01,3.7583333333333333
2001-01-01,4.4250000000000000
2002-01-01,4.9583333333333333
2003-01-01,4.4666666666666667
2004-01-01,3.7500000000000000
2005-01-01,2.8750000000000000
2006-01-01,2.4666666666666667
2007-01-01,3.3000000000000000
2008-01-01,5.6916666666666667
2009-01-01,9.5583333333333333
2010-01-01,10.8250000000000000
2011-01-01,10.0000000000000000
2012-01-01,8.6666666666666667
2013-01-01,7.5333333333333333
2014-01-01,6.4333333333333333
2015-01-01,5.5250000000000000
2016-01-01,4.9166666666666667
2017-01-01,4.3000000000000000
2018-01-01,3.6500000000000000
2019-01-01,3.2500000000000000
2020-01-01,8.1750000000000000
2021-01-01,4.6583333333333333
2022-01-01,2.9000000000000000
2023-01-01,.
