DATE,NVUR
1976-01-01,8.8250000000000000
1977-01-01,6.7666666666666667
1978-01-01,4.4166666666666667
1979-01-01,4.8666666666666667
1980-01-01,6.3166666666666667
1981-01-01,7.3166666666666667
1982-01-01,10.0500000000000000
1983-01-01,9.8416666666666667
1984-01-01,7.6583333333333333
1985-01-01,7.4750000000000000
1986-01-01,6.3833333333333333
1987-01-01,6.2000000000000000
1988-01-01,5.2416666666666667
1989-01-01,4.6583333333333333
1990-01-01,4.7000000000000000
1991-01-01,5.9000000000000000
1992-01-01,6.8000000000000000
1993-01-01,6.9000000000000000
1994-01-01,6.2416666666666667
1995-01-01,5.5666666666666667
1996-01-01,5.0583333333333333
1997-01-01,4.3750000000000000
1998-01-01,4.1750000000000000
1999-01-01,3.9666666666666667
2000-01-01,4.1166666666666667
2001-01-01,5.1916666666666667
2002-01-01,5.6833333333333333
2003-01-01,5.2833333333333333
2004-01-01,4.4583333333333333
2005-01-01,4.1250000000000000
2006-01-01,4.0666666666666667
2007-01-01,4.5916666666666667
2008-01-01,6.8833333333333333
2009-01-01,11.7250000000000000
2010-01-01,13.7333333333333333
2011-01-01,13.3166666666666667
2012-01-01,11.6083333333333333
2013-01-01,9.9666666666666667
2014-01-01,8.1583333333333333
2015-01-01,6.8500000000000000
2016-01-01,5.8083333333333333
2017-01-01,4.9833333333333333
2018-01-01,4.3833333333333333
2019-01-01,4.1083333333333333
2020-01-01,13.7000000000000000
2021-01-01,6.9416666666666667
2022-01-01,5.3583333333333333
2023-01-01,.
