DATE,AKUR
1976-01-01,7.5666666666666667
1977-01-01,9.8916666666666667
1978-01-01,10.6333333333333333
1979-01-01,9.0583333333333333
1980-01-01,9.5333333333333333
1981-01-01,9.1833333333333333
1982-01-01,10.0583333333333333
1983-01-01,10.1000000000000000
1984-01-01,9.8916666666666667
1985-01-01,9.8416666666666667
1986-01-01,11.1000000000000000
1987-01-01,10.1416666666666667
1988-01-01,8.7333333333333333
1989-01-01,7.1000000000000000
1990-01-01,7.2583333333333333
1991-01-01,8.3416666666666667
1992-01-01,8.8583333333333333
1993-01-01,7.8000000000000000
1994-01-01,7.6166666666666667
1995-01-01,7.3250000000000000
1996-01-01,7.4250000000000000
1997-01-01,6.9333333333333333
1998-01-01,6.3250000000000000
1999-01-01,6.4083333333333333
2000-01-01,6.3166666666666667
2001-01-01,6.2833333333333333
2002-01-01,7.1666666666666667
2003-01-01,7.6833333333333333
2004-01-01,7.4166666666666667
2005-01-01,6.9333333333333333
2006-01-01,6.6333333333333333
2007-01-01,6.2583333333333333
2008-01-01,6.4750000000000000
2009-01-01,7.9833333333333333
2010-01-01,8.1333333333333333
2011-01-01,7.7333333333333333
2012-01-01,7.2500000000000000
2013-01-01,6.9916666666666667
2014-01-01,6.7416666666666667
2015-01-01,6.2750000000000000
2016-01-01,6.6000000000000000
2017-01-01,6.5083333333333333
2018-01-01,6.0416666666666667
2019-01-01,5.5916666666666667
2020-01-01,8.3083333333333333
2021-01-01,6.4333333333333333
2022-01-01,4.0250000000000000
2023-01-01,.
