DATE,LAUR
1976-01-01,6.6416666666666667
1977-01-01,6.9333333333333333
1978-01-01,6.8000000000000000
1979-01-01,6.6500000000000000
1980-01-01,7.0500000000000000
1981-01-01,8.4416666666666667
1982-01-01,10.2166666666666667
1983-01-01,11.5500000000000000
1984-01-01,10.2083333333333333
1985-01-01,11.4416666666666667
1986-01-01,12.5166666666666667
1987-01-01,11.8250000000000000
1988-01-01,10.5916666666666667
1989-01-01,7.8583333333333333
1990-01-01,6.2333333333333333
1991-01-01,7.2416666666666667
1992-01-01,7.8333333333333333
1993-01-01,7.4583333333333333
1994-01-01,7.6500000000000000
1995-01-01,6.8666666666666667
1996-01-01,6.4583333333333333
1997-01-01,5.8833333333333333
1998-01-01,5.5166666666666667
1999-01-01,4.9750000000000000
2000-01-01,5.1500000000000000
2001-01-01,5.6000000000000000
2002-01-01,5.9916666666666667
2003-01-01,6.2833333333333333
2004-01-01,5.7000000000000000
2005-01-01,7.0583333333333333
2006-01-01,4.1333333333333333
2007-01-01,4.0916666666666667
2008-01-01,4.6666666666666667
2009-01-01,6.7916666666666667
2010-01-01,7.5166666666666667
2011-01-01,7.4333333333333333
2012-01-01,6.7666666666666667
2013-01-01,6.4166666666666667
2014-01-01,6.2500000000000000
2015-01-01,6.2916666666666667
2016-01-01,6.0666666666666667
2017-01-01,5.1083333333333333
2018-01-01,4.8250000000000000
2019-01-01,4.6166666666666667
2020-01-01,8.6666666666666667
2021-01-01,5.6000000000000000
2022-01-01,3.6250000000000000
2023-01-01,.
