DATE,VTUR
1976-01-01,8.2583333333333333
1977-01-01,7.0083333333333333
1978-01-01,5.6583333333333333
1979-01-01,4.9833333333333333
1980-01-01,5.9333333333333333
1981-01-01,5.8500000000000000
1982-01-01,6.8500000000000000
1983-01-01,6.5416666666666667
1984-01-01,4.9166666666666667
1985-01-01,4.5833333333333333
1986-01-01,4.3166666666666667
1987-01-01,3.7666666666666667
1988-01-01,3.0083333333333333
1989-01-01,3.6250000000000000
1990-01-01,4.7083333333333333
1991-01-01,5.9583333333333333
1992-01-01,6.2500000000000000
1993-01-01,5.2083333333333333
1994-01-01,4.4000000000000000
1995-01-01,4.1666666666666667
1996-01-01,4.2916666666666667
1997-01-01,3.9416666666666667
1998-01-01,3.4666666666666667
1999-01-01,3.0750000000000000
2000-01-01,2.8083333333333333
2001-01-01,3.2916666666666667
2002-01-01,3.8333333333333333
2003-01-01,4.3833333333333333
2004-01-01,3.6750000000000000
2005-01-01,3.4500000000000000
2006-01-01,3.7166666666666667
2007-01-01,3.9416666666666667
2008-01-01,4.5666666666666667
2009-01-01,6.1666666666666667
2010-01-01,6.3166666666666667
2011-01-01,5.5666666666666667
2012-01-01,4.8166666666666667
2013-01-01,4.4166666666666667
2014-01-01,3.9916666666666667
2015-01-01,3.5333333333333333
2016-01-01,3.1250000000000000
2017-01-01,3.0083333333333333
2018-01-01,2.4833333333333333
2019-01-01,2.1000000000000000
2020-01-01,5.7166666666666667
2021-01-01,3.7000000000000000
2022-01-01,2.6250000000000000
2023-01-01,.
