DATE,AZUR
1976-01-01,9.7583333333333333
1977-01-01,8.4000000000000000
1978-01-01,5.9500000000000000
1979-01-01,5.0750000000000000
1980-01-01,6.6083333333333333
1981-01-01,6.1916666666666667
1982-01-01,9.9583333333333333
1983-01-01,9.1083333333333333
1984-01-01,4.9583333333333333
1985-01-01,6.3583333333333333
1986-01-01,7.0500000000000000
1987-01-01,6.5083333333333333
1988-01-01,6.4083333333333333
1989-01-01,5.2416666666666667
1990-01-01,5.2166666666666667
1991-01-01,5.8583333333333333
1992-01-01,7.5666666666666667
1993-01-01,6.3666666666666667
1994-01-01,6.1916666666666667
1995-01-01,5.3000000000000000
1996-01-01,5.4916666666666667
1997-01-01,4.6250000000000000
1998-01-01,4.2750000000000000
1999-01-01,4.4583333333333333
2000-01-01,3.9833333333333333
2001-01-01,4.7250000000000000
2002-01-01,6.1416666666666667
2003-01-01,5.7833333333333333
2004-01-01,4.9666666666666667
2005-01-01,4.6666666666666667
2006-01-01,4.3083333333333333
2007-01-01,3.7500000000000000
2008-01-01,5.7916666666666667
2009-01-01,9.6666666666666667
2010-01-01,10.3000000000000000
2011-01-01,9.4333333333333333
2012-01-01,8.3500000000000000
2013-01-01,7.8166666666666667
2014-01-01,6.7916666666666667
2015-01-01,6.0750000000000000
2016-01-01,5.4833333333333333
2017-01-01,4.9750000000000000
2018-01-01,4.8083333333333333
2019-01-01,4.8083333333333333
2020-01-01,7.8416666666666667
2021-01-01,5.0750000000000000
2022-01-01,3.8250000000000000
2023-01-01,.
