DATE,NYUR
1976-01-01,10.2083333333333333
1977-01-01,9.1666666666666667
1978-01-01,7.7083333333333333
1979-01-01,7.1000000000000000
1980-01-01,7.4333333333333333
1981-01-01,7.5583333333333333
1982-01-01,8.7000000000000000
1983-01-01,8.8833333333333333
1984-01-01,7.2250000000000000
1985-01-01,6.6000000000000000
1986-01-01,6.2166666666666667
1987-01-01,4.7916666666666667
1988-01-01,4.2333333333333333
1989-01-01,4.8666666666666667
1990-01-01,5.3500000000000000
1991-01-01,7.3083333333333333
1992-01-01,8.6833333333333333
1993-01-01,7.9250000000000000
1994-01-01,6.9166666666666667
1995-01-01,6.3333333333333333
1996-01-01,6.2583333333333333
1997-01-01,6.4000000000000000
1998-01-01,5.6000000000000000
1999-01-01,5.1833333333333333
2000-01-01,4.5083333333333333
2001-01-01,4.8750000000000000
2002-01-01,6.2000000000000000
2003-01-01,6.4000000000000000
2004-01-01,5.7916666666666667
2005-01-01,4.9583333333333333
2006-01-01,4.5333333333333333
2007-01-01,4.4333333333333333
2008-01-01,5.4083333333333333
2009-01-01,8.3666666666666667
2010-01-01,8.7166666666666667
2011-01-01,8.3583333333333333
2012-01-01,8.6250000000000000
2013-01-01,7.7916666666666667
2014-01-01,6.2916666666666667
2015-01-01,5.2333333333333333
2016-01-01,4.8750000000000000
2017-01-01,4.6333333333333333
2018-01-01,4.1000000000000000
2019-01-01,3.8500000000000000
2020-01-01,9.8500000000000000
2021-01-01,7.0166666666666667
2022-01-01,4.2500000000000000
2023-01-01,.
