year,population,gdp,unemployment_rate,snap_recipients,bachelor,household_income,poverty,minimum_wage,state_abbrev
2014,5452.665,314091.35,4.266666667,522016.5,34.3,77032,11.4,8,MN
2015,5484.002,318913.225,3.791666667,490641.0833,34.7,78599,10.2,9,MN
2016,5525.36,324030.3,3.875,472951.8333,34.8,79278,9.9,9.5,MN
2017,5569.283,327483.2,3.483333333,448431,36.1,77341,9.5,9.5,MN
2018,5608.762,336892.275,3.025,423439.0833,36.7,77488,9.6,9.65,MN
2019,5640.053,340557.15,3.25,403193.3333,37.3,86292,8.9,9.86,MN
2020,5709.852,328489.55,6.266666667,424130.0833,37.9,82431,8.3,10,MN
2021,5711.471,346204.325,3.783333333,.,38.9,80441,9.3,10.08,MN
2006,5842.704,267221.1,4.875,803105.8333,24.3,60051,13.8,5.15,MO
2007,5887.612,267691.15,5.083333333,833940.25,24.5,60263,13.3,6.5,MO
2008,5923.916,273436.225,6.216666667,811525.5,25,58075,13.5,6.65,MO
2009,5961.088,266834.9,9.025,832563.5833,25.2,61735,14.6,7.05,MO
2010,5996.089,270732.9,9.508333333,914769.1667,25.6,57057,15.3,7.25,MO
2011,6011.182,268533.8,8.641666667,948981.4167,26.1,55261,15.8,7.25,MO
2012,6026.027,271535.15,7.191666667,943991.8333,26.4,58832,16.2,7.25,MO
2013,6042.989,274599.275,6.775,916828.6667,27,53941,15.8,7.35,MO
2014,6059.13,276080.675,6.15,846930.8333,27.5,64873,15.5,7.5,MO
2015,6075.411,279020.85,5.108333333,844626.75,27.8,67696,14.8,7.65,MO
2016,6091.384,279109.125,4.55,790681.8333,28.5,62115,14,7.65,MO
2017,6111.382,281253.35,3.741666667,756005.25,29.1,62481,13.4,7.7,MO
2018,6125.986,284540.25,3.241666667,724712.25,29.5,66600,13.2,7.85,MO
2019,6140.475,290619.525,3.208333333,682968.1667,30.2,64218,12.9,8.6,MO
2020,6153.998,282754.125,6.191666667,724620.25,31.9,65081,12.1,9.45,MO
2021,6169.823,295687.3,4.083333333,.,31.7,63594,12.8,10.3,MO
2006,952.692,38577.55,3.341666667,81250.41667,27.4,41105,14.4,5.15,MT
2007,964.706,40438.3,3.358333333,79770.16667,27,43655,14.1,6.15,MT
2008,976.415,40471.125,4.725,81372,27.1,42900,14.1,6.25,MT
2009,983.982,39513.4,7.116666667,98308.08333,27.4,40437,15,6.9,MT
2010,990.73,40793.75,7.183333333,117034.5833,28.8,41280,15.2,7.25,MT
2011,997.518,41875.7,6.625,125673.8333,28.2,40277,15.2,7.35,MT
2012,1004.168,42340.875,5.8,126568.3333,29.4,45088,15.6,7.65,MT
2013,1014.158,42968.25,5.341666667,127939,29,43201,16.1,7.8,MT
2014,1022.657,43829.125,4.666666667,123953.4167,29.3,51102,15.2,7.9,MT
2015,1031.495,45395.75,4.291666667,117024.25,30.6,51395,14.4,8.05,MT
2016,1042.137,44436.8,4.325,118409.25,31,57075,13.4,8.05,MT
2017,1053.862,45974.275,4.091666667,120018.6667,32.3,57407,12.7,8.15,MT
2018,1061.818,46584.125,3.75,113084.5,31.7,57679,12.9,8.3,MT
2019,1070.123,46886.225,3.5,106684.5833,33.6,60195,12.6,8.5,MT
2020,1087.075,46750.425,5.841666667,102802.0833,34.6,56741,12.4,8.65,MT
2021,1106.227,48976.225,3.383333333,.,34.8,64999,12,8.75,MT
2006,8661.679,516681.375,4.633333333,406925,33.4,91680,8.7,6.15,NJ
2007,8677.885,520898.35,4.225,418850.5,33.9,79260,8.5,7.15,NJ
2008,8711.09,534501.4,5.45,448963.8333,34.4,82381,8.7,7.15,NJ
2009,8755.602,506850.75,8.958333333,526653.5833,34.5,81999,9.4,7.15,NJ
2010,8799.451,513917.95,9.658333333,655919.5,35.4,78415,10.2,7.25,NJ
2011,8828.552,507604,9.35,772694,35.3,75258,10.4,7.25,NJ
2012,8845.671,517195.85,9.383333333,832795.4167,36.2,78845,10.7,7.25,NJ
2013,8857.821,523725.825,8.375,877022.5833,36.6,74271,11.4,7.25,NJ
2014,8867.277,522166.475,6.733333333,896747.25,37.4,74740,11.1,8.25,NJ
2015,8870.312,529953.75,5.716666667,900883.3333,37.6,78173,10.8,8.38,NJ
2016,8873.584,535055.275,4.941666667,868032.75,38.6,77303,10.4,8.38,NJ
2017,8888.147,537578.55,4.533333333,801126.6667,39.7,78739,10,8.44,NJ
2018,8891.73,550059.525,4,746441.3333,40.8,80033,9.5,8.6,NJ
2019,8891.258,559648.75,3.458333333,692303.9167,41.2,92969,9.1,10,NJ
2020,9271.689,535323.775,9.425,725515.8333,43.1,89543,9.4,11,NJ
2021,9267.961,566893.2,6.625,.,43.1,88559,10.2,12,NJ
2006,1962.137,86058.425,4.233333333,242975.5,25.3,53920,18.3,5.15,NM
2007,1990.07,86738.725,3.591666667,232142.75,24.8,58103,17.9,5.15,NM
2008,2010.662,86965.2,4.3,247725.75,24.7,53110,17,6.5,NM
2009,2036.802,88069.95,7.05,308529.75,25.3,55118,18.2,7.5,NM
2010,2064.614,87610.225,7.775,372933.4167,25,56206,19.8,7.5,NM
2011,2080.707,87592.925,7.216666667,422017.5,25.6,50683,20.9,7.5,NM
2012,2087.715,87925.225,6.966666667,440066.25,26.1,51337,20.6,7.5,NM
2013,2092.833,86856.6,6.908333333,435818.3333,26.4,46792,21.4,7.5,NM
2014,2090.236,88991.175,6.591666667,436152.6667,26.4,53482,20.6,7.5,NM
2015,2090.071,89701.3,6.6,456775.9167,26.5,51598,19.8,7.5,NM
2016,2092.555,89151.35,6.75,472248.6667,27.2,54703,19.1,7.5,NM
2017,2092.844,88962.875,6.041666667,458553.1667,27.1,50401,19,7.5,NM
2018,2093.754,90933.625,4.925,454480.8333,27.7,52096,18.8,7.5,NM
2019,2099.634,94897.425,4.958333333,447398.5,27.7,56287,17.5,7.5,NM
2020,2118.39,92496.275,7.925,479722.3333,30.1,53283,16.8,9,NM
2021,2116.677,93625.05,7.058333333,.,30.1,53463,17.7,10.5,NM
2006,2522.658,142967.05,4.066666667,117683.6667,20.8,70427,10.5,5.15,NV
2007,2601.072,144107.075,4.591666667,126059.5,21.8,70811,10.6,6.15,NV
2008,2653.63,139954.25,6.883333333,152950.5,21.9,69057,11.2,6.33,NV
2009,2684.665,128241.25,11.725,221510.9167,21.8,65108,12.4,6.85,NV
2010,2702.483,129828.375,13.73333333,295042.0833,21.7,63760,14.8,7.55,NV
2011,2713.114,130697.85,13.31666667,340797.3333,22.5,56793,15.8,8.25,NV
2012,2744.67,129312.9,11.60833333,356642.75,22.4,55958,16.2,8.25,NV
2013,2776.956,129720.9,9.966666667,363623.5833,22.5,60399,15.8,8.25,NV
2014,2818.935,130897.35,8.158333333,393094.5,23.1,57135,15.4,8.25,NV
2015,2868.531,136347.375,6.85,428315.9167,23.6,59476,14.9,8.25,NV
2016,2919.555,140081.2,5.808333333,440319.3333,23.5,62583,14.1,8.25,NV
2017,2972.097,145485.55,4.983333333,440615.5833,24.9,64151,13.3,8.25,NV
2018,3030.725,150448,4.383333333,437071.5,24.9,66749,13.1,8.25,NV
2019,3090.771,156959.125,4.108333333,419793,25.7,75143,12.7,8.25,NV
2020,3115.648,146492.525,13.7,461386.25,28,64020,12.5,9,NV
2021,3146.402,159567.325,6.941666667,.,27.6,64340,14,9.75,NV
2006,19104.631,1199276.9,4.533333333,1788832.917,31.2,64958,14.2,6.75,NY
2007,19132.335,1208564.65,4.433333333,1813682.5,31.7,64112,13.8,7.15,NY
2008,19212.436,1190080.85,5.408333333,2029589.333,31.9,63655,13.7,7.15,NY
2009,19307.066,1230672.3,8.366666667,2445300.167,32.4,63567,14.2,7.15,NY
2010,19399.956,1277466.775,8.716666667,2835074.75,32.5,61993,15,7.25,NY
2011,19499.921,1279527.1,8.358333333,3029360.917,32.9,61131,16.1,7.25,NY
2012,19574.362,1328233.5,8.625,3099642.583,33.4,56368,15.9,7.25,NY
2013,19626.488,1329376.3,7.791666667,3173533.5,34.1,58209,16,7.25,NY
2014,19653.431,1353410.4,6.291666667,3092073.333,34.5,62216,16,8,NY
2015,19657.321,1373642.975,5.233333333,3019718.917,35,66334,15.5,8.75,NY
2016,19636.391,1403230.525,4.875,2956395.25,35.7,69364,14.8,9,NY
2017,19593.849,1419112.075,4.633333333,2883745.75,36,68021,14.1,9.7,NY
2018,19544.098,1458382.425,4.1,2766204.083,37.2,72586,13.7,10.4,NY
2019,19463.131,1500833.4,3.85,2627003.833,37.8,76149,13.1,11.1,NY
2020,20108.296,1432507,9.85,2702129.833,39.5,71865,12.7,11.8,NY
2021,19857.492,1514779.25,7.016666667,.,39.9,72920,14,12.5,NY
2006,3670.883,166107.2,5.391666667,56984.83333,27.5,63435,13.4,7.5,OR
2007,3722.417,168975.15,5.158333333,56010,28.3,65805,13,7.8,OR
2008,3768.748,173598.425,6.275,57996.75,28.1,65252,13.5,7.95,OR
2009,3808.6,165527.2,10.79166667,67438.91667,29.2,62151,14.3,8.4,OR
2010,3837.614,169234.025,10.69166667,78728.75,28.8,63016,15.8,8.4,OR
2011,3872.672,173831.725,9.608333333,88329.58333,29.3,62205,17.3,8.5,OR
2012,3900.102,174610.975,8.808333333,91625.16667,29.9,61210,17,8.8,OR
2013,3924.11,175933.8,7.75,90709.91667,30.7,57082,16.5,8.95,OR
2014,3965.447,181220.575,6.641666667,85339.5,30.8,67445,16.4,9.1,OR
2015,4018.542,189946.55,5.466666667,81389.5,32.2,69569,15.2,9.25,OR
2016,4093.271,198079.325,4.75,83385.5,32.7,66765,13.4,9.75,OR
2017,4147.294,205524,4.058333333,93798.5,33.7,69077,13.2,10.25,OR
2018,4183.538,214902.55,4.041666667,87295.25,34,74626,12.5,10.75,OR
2019,4216.116,219588,3.725,83984.66667,34.5,78860,11.5,11.25,OR
2020,4244.795,215743.625,7.616666667,82333,36.3,80443,11,12,OR
2021,4256.301,227979.075,5.208333333,.,36.3,81855,12.2,12.75,OR
2006,12510.809,597219.2,4.708333333,1121802,25.4,65302,12,5.15,PA
2007,12563.937,617309.9,4.558333333,1171858,25.8,63448,11.6,6.25,PA
2008,12612.285,629807.9,5.35,1285078,26.3,64842,12.1,7.15,PA
2009,12666.858,610147.9,7.975,1521979,26.4,60979,12.5,7.15,PA
2010,12711.406,627726.3,8.166666667,1686558,27.1,60166,13.4,7.25,PA
2011,12747.052,637114,7.741666667,1793280,27,60254,13.7,7.25,PA
2012,12769.123,647925.9,7.658333333,1779463,27.8,61362,13.7,7.25,PA
2013,12779.538,655929.2,7.1,1795656,28.7,64255,13.7,7.25,PA
2014,12792.392,669643.1,5.933333333,1815216,29,63204,13.6,7.25,PA
2015,12789.838,682466.1,5.391666667,1863359,29.7,69061,13.1,7.25,PA
2016,12788.468,688359.4,5.341666667,1847222,30.8,68847,12.9,7.25,PA
2017,12794.679,694866.6,4.975,1828626,31.4,67736,12.5,7.25,PA
2018,12809.107,704027.8,4.416666667,1770165,31.8,69619,12.2,7.25,PA
2019,12798.883,715060.7,4.325,1773406,32.3,74800,12,7.25,PA
2020,12994.44,680957.4,8.916666667,1805217,34,74094,10.9,7.25,PA
2021,13012.059,710973.1,6.033333333,,34.5,72627,12,7.25,PA
2006,1063.096,52899.6,5.216666667,73224.5,29.6,72386,11.5,6.75,RI
2007,1057.315,51469.1,5.108333333,78049.75,29.8,71010,11.9,7.4,RI
2008,1055.003,50575.2,7.6,87412.16667,30,67161,12.1,7.4,RI
2009,1053.646,50004.3,11.39166667,110988.5833,30.5,65362,12,7.4,RI
2010,1053.994,51332.8,11.625,145892.25,30.2,64287,14.1,7.4,RI
2011,1053.829,51279.6,11.01666667,164120.1667,31.1,59196,14.7,7.4,RI
2012,1054.893,51583,10.21666667,175023.9167,31.4,66281,14.2,7.4,RI
2013,1055.56,51910.8,9.475,180356.9167,32.4,65614,14.7,7.75,RI
2014,1056.511,52293.4,7.766666667,177608.1667,30.4,67168,14.8,8,RI
2015,1056.886,52819.1,6.025,174192.9167,32.7,63699,14.1,9,RI
2016,1057.816,52902.6,5.241666667,169785.6667,34.1,69467,13.3,9.6,RI
2017,1056.554,52691.8,4.508333333,165860.3333,33.5,72285,12.3,9.6,RI
2018,1059.338,52553.3,4.033333333,160862.5833,34.4,67183,12.8,10.1,RI
2019,1058.158,53411.4,3.55,149707.3333,34.8,74344,11.6,10.5,RI
2020,1096.345,51516.1,9.208333333,143927.5833,38,83918,10.6,10.5,RI
2021,1096.985,54606,5.508333333,.,36.5,74982,12.1,11.5,RI
2006,7673.725,419870.625,3.341666667,508072.5833,32.7,76943,9.6,5.15,VA
2007,7751,424939.55,3.283333333,519531.6667,33.6,77496,9.9,5.15,VA
2008,7833.496,431216.7,4.275,560870.6667,33.7,78192,10.2,5.85,VA
2009,7925.937,427648.95,6.833333333,691172.5,34,76586,10.6,6.55,VA
2010,8024.004,441242.375,7.291666667,806895.25,34.2,75176,11.1,7.25,VA
2011,8102.437,444288,6.541666667,874410.1667,35.1,75594,11.6,7.25,VA
2012,8187.456,445973.625,5.95,922150.4167,35.5,76409,11.8,7.25,VA
2013,8255.861,449063.75,5.55,942078.0833,36.1,76779,11.7,7.25,VA
2014,8315.43,447678.1,5.116666667,903865.75,36.7,75785,11.8,7.25,VA
2015,8367.303,455162.375,4.366666667,850956,37,70315,11.2,7.25,VA
2016,8417.651,459965.825,4,816323.8333,38.1,75025,11,7.25,VA
2017,8471.011,467362,3.666666667,762609.1667,38.7,78265,10.7,7.25,VA
2018,8510.92,477915.2,3.008333333,727155.5,39.3,83243,10.7,7.25,VA
2019,8556.642,489199.05,2.758333333,699770.6667,39.6,86172,9.9,7.25,VA
2020,8636.471,478909.35,6.508333333,747390.1667,42,86053,9.2,7.25,VA
2021,8657.365,505350.95,3.883333333,.,41.8,80268,10.3,9.5,VA
2006,622.892,27128.8,3.716666667,49148,32.4,70022,10.2,7.25,VT
2007,623.481,26886.675,3.941666667,53096.75,33.6,62077,10.1,7.53,VT
2008,624.151,27758.375,4.566666667,57745.66667,32.1,63964,10.4,7.68,VT
2009,624.817,27221.975,6.166666667,77635.91667,33.1,66227,11.5,8.06,VT
2010,625.886,28403.75,6.316666667,87040.41667,33.6,69648,12.4,8.06,VT
2011,627.197,29013.525,5.566666667,93465.5,35.4,62611,11.9,8.15,VT
2012,626.361,29241.25,4.816666667,97794.33333,35.8,65710,11.9,8.46,VT
2013,626.603,28681.5,4.416666667,100386,35.7,76320,12.3,8.6,VT
2014,625.693,28912.2,3.991666667,89980.66667,34.9,69545,12,8.73,VT
2015,625.81,29119.05,3.533333333,83683.5,36.9,68037,10.4,9.15,VT
2016,624.366,29408.15,3.125,78777.25,36.4,68687,11.3,9.6,VT
2017,625.132,29490.65,3.008333333,75707.25,38.3,70385,10.8,10,VT
2018,624.802,29602.225,2.483333333,72157.83333,38.7,75599,10.7,10.5,VT
2019,624.046,29940.675,2.1,68424.83333,38.7,78746,10.1,10.78,VT
2020,642.893,29064.625,5.716666667,68888.33333,42.1,70398,9.4,10.96,VT
2021,646.972,30546.8,3.7,.,44.4,76079,10.2,11.75,VT
2006,6370.753,353263.5,5,538152.8333,30.5,73715,11.8,7.63,WA
2007,6461.587,373180.6,4.6,539157.4167,30.3,76080,11.4,7.93,WA
2008,6562.231,381289.95,5.291666667,600169,30.7,71438,11.3,8.07,WA
2009,6667.426,370136.6,8.266666667,820915.8333,31,76448,12.3,8.55,WA
2010,6743.009,380989.45,9.133333333,981085.8333,31.1,69941,13.5,8.55,WA
2011,6827.479,387745.225,8.525,1073487.583,31.9,68633,13.9,8.67,WA
2012,6898.599,400530.6,7.641666667,1111529.333,31.7,73519,13.6,9.04,WA
2013,6966.252,410873.875,6.633333333,1109341.583,32.7,74467,14.1,9.19,WA
2014,7057.531,424467.625,5.925,1092073.917,33.1,67666,13.2,9.32,WA
2015,7167.287,441952.075,5.433333333,1055460.333,34.2,76899,12.2,9.47,WA
2016,7299.961,458263.775,5.225,988778.9167,35.1,79382,11.3,9.47,WA
2017,7427.951,482007.05,4.641666667,915760.9167,35.5,79071,11,11,WA
2018,7526.793,515029.075,4.425,864784.1667,36.7,86021,10.3,11.5,WA
2019,7614.024,533150.425,4.233333333,813505.25,37,87381,9.8,12,WA
2020,7724.031,538856.05,8.45,907106.1667,38.4,85157,9.5,13.5,WA
2021,7740.745,575129,5.208333333,.,39,87648,9.9,13.69,WA
