DATE,MTUR
1976-01-01,5.8750000000000000
1977-01-01,6.1500000000000000
1978-01-01,5.5666666666666667
1979-01-01,5.2083333333333333
1980-01-01,6.3166666666666667
1981-01-01,6.7250000000000000
1982-01-01,8.6083333333333333
1983-01-01,8.7416666666666667
1984-01-01,7.5083333333333333
1985-01-01,7.6666666666666667
1986-01-01,7.9500000000000000
1987-01-01,7.4666666666666667
1988-01-01,6.6333333333333333
1989-01-01,5.9583333333333333
1990-01-01,6.0583333333333333
1991-01-01,6.9333333333333333
1992-01-01,6.7083333333333333
1993-01-01,6.1166666666666667
1994-01-01,5.4916666666666667
1995-01-01,5.7083333333333333
1996-01-01,5.5583333333333333
1997-01-01,5.5000000000000000
1998-01-01,5.6083333333333333
1999-01-01,5.3083333333333333
2000-01-01,4.8333333333333333
2001-01-01,4.6083333333333333
2002-01-01,4.5500000000000000
2003-01-01,4.7416666666666667
2004-01-01,4.5083333333333333
2005-01-01,4.0666666666666667
2006-01-01,3.3416666666666667
2007-01-01,3.3583333333333333
2008-01-01,4.7250000000000000
2009-01-01,7.1166666666666667
2010-01-01,7.1833333333333333
2011-01-01,6.6250000000000000
2012-01-01,5.8000000000000000
2013-01-01,5.3416666666666667
2014-01-01,4.6666666666666667
2015-01-01,4.2916666666666667
2016-01-01,4.3250000000000000
2017-01-01,4.0916666666666667
2018-01-01,3.7500000000000000
2019-01-01,3.5000000000000000
2020-01-01,5.8416666666666667
2021-01-01,3.3833333333333333
2022-01-01,2.6333333333333333
2023-01-01,.
