DATE,CAUR
1976-01-01,9.1500000000000000
1977-01-01,8.3916666666666667
1978-01-01,7.1333333333333333
1979-01-01,6.2166666666666667
1980-01-01,6.9000000000000000
1981-01-01,7.4333333333333333
1982-01-01,10.0583333333333333
1983-01-01,9.8250000000000000
1984-01-01,7.7583333333333333
1985-01-01,7.1833333333333333
1986-01-01,6.7666666666666667
1987-01-01,5.8250000000000000
1988-01-01,5.2750000000000000
1989-01-01,5.0916666666666667
1990-01-01,5.7916666666666667
1991-01-01,7.8250000000000000
1992-01-01,9.3500000000000000
1993-01-01,9.5333333333333333
1994-01-01,8.6500000000000000
1995-01-01,7.8916666666666667
1996-01-01,7.3500000000000000
1997-01-01,6.4083333333333333
1998-01-01,5.9333333333333333
1999-01-01,5.2666666666666667
2000-01-01,4.9250000000000000
2001-01-01,5.4666666666666667
2002-01-01,6.7583333333333333
2003-01-01,6.8916666666666667
2004-01-01,6.2166666666666667
2005-01-01,5.3833333333333333
2006-01-01,4.9166666666666667
2007-01-01,5.3083333333333333
2008-01-01,7.3000000000000000
2009-01-01,11.5416666666666667
2010-01-01,12.4583333333333333
2011-01-01,11.8916666666666667
2012-01-01,10.5250000000000000
2013-01-01,9.0333333333333333
2014-01-01,7.5666666666666667
2015-01-01,6.2250000000000000
2016-01-01,5.5166666666666667
2017-01-01,4.8333333333333333
2018-01-01,4.2583333333333333
2019-01-01,4.1000000000000000
2020-01-01,10.2000000000000000
2021-01-01,7.3250000000000000
2022-01-01,4.1833333333333333
2023-01-01,.
