DATE,MIUR
1976-01-01,9.4000000000000000
1977-01-01,8.2250000000000000
1978-01-01,7.0333333333333333
1979-01-01,7.8666666666666667
1980-01-01,12.3000000000000000
1981-01-01,12.3750000000000000
1982-01-01,15.4583333333333333
1983-01-01,14.4833333333333333
1984-01-01,11.2333333333333333
1985-01-01,10.0000000000000000
1986-01-01,8.9083333333333333
1987-01-01,8.3916666666666667
1988-01-01,7.5666666666666667
1989-01-01,7.1833333333333333
1990-01-01,7.7000000000000000
1991-01-01,9.2833333333333333
1992-01-01,9.0666666666666667
1993-01-01,7.3500000000000000
1994-01-01,6.0833333333333333
1995-01-01,5.3166666666666667
1996-01-01,4.8916666666666667
1997-01-01,4.2916666666666667
1998-01-01,3.9750000000000000
1999-01-01,3.7416666666666667
2000-01-01,3.6916666666666667
2001-01-01,5.1583333333333333
2002-01-01,6.1916666666666667
2003-01-01,7.0916666666666667
2004-01-01,6.9500000000000000
2005-01-01,6.7916666666666667
2006-01-01,7.0333333333333333
2007-01-01,7.0833333333333333
2008-01-01,8.2166666666666667
2009-01-01,13.1333333333333333
2010-01-01,12.1916666666666667
2011-01-01,10.0083333333333333
2012-01-01,9.0583333333333333
2013-01-01,8.7250000000000000
2014-01-01,7.2333333333333333
2015-01-01,5.4250000000000000
2016-01-01,5.0083333333333333
2017-01-01,4.5750000000000000
2018-01-01,4.1583333333333333
2019-01-01,4.0666666666666667
2020-01-01,10.0000000000000000
2021-01-01,5.8500000000000000
2022-01-01,4.2083333333333333
2023-01-01,.
