DATE,NJURN
1976-01-01,10.3916666666666667
1977-01-01,9.3083333333333333
1978-01-01,7.2583333333333333
1979-01-01,6.8666666666666667
1980-01-01,7.1416666666666667
1981-01-01,7.5333333333333333
1982-01-01,8.7000000000000000
1983-01-01,8.1916666666666667
1984-01-01,6.2833333333333333
1985-01-01,5.6333333333333333
1986-01-01,5.0250000000000000
1987-01-01,4.0333333333333333
1988-01-01,3.7750000000000000
1989-01-01,4.0416666666666667
1990-01-01,5.0583333333333333
1991-01-01,6.7833333333333333
1992-01-01,8.5000000000000000
1993-01-01,7.7500000000000000
1994-01-01,6.8333333333333333
1995-01-01,6.4083333333333333
1996-01-01,6.1500000000000000
1997-01-01,5.3166666666666667
1998-01-01,4.5916666666666667
1999-01-01,4.4000000000000000
2000-01-01,3.6583333333333333
2001-01-01,4.2583333333333333
2002-01-01,5.7750000000000000
2003-01-01,5.8250000000000000
2004-01-01,4.9250000000000000
2005-01-01,4.4416666666666667
2006-01-01,4.6333333333333333
2007-01-01,4.2250000000000000
2008-01-01,5.4500000000000000
2009-01-01,8.9583333333333333
2010-01-01,9.6583333333333333
2011-01-01,9.3500000000000000
2012-01-01,9.3833333333333333
2013-01-01,8.3750000000000000
2014-01-01,6.7333333333333333
2015-01-01,5.7166666666666667
2016-01-01,4.9416666666666667
2017-01-01,4.5333333333333333
2018-01-01,4.0000000000000000
2019-01-01,3.4583333333333333
2020-01-01,9.4250000000000000
2021-01-01,6.6250000000000000
2022-01-01,3.7250000000000000
2023-01-01,.
